날짜,기사_제목,기사_url,기사_내용
22 May 2023,EMS to display Optimas kit at Plantworx,"https://www.earthmoversmagazine.co.uk/news/view,ems-to-display-optimas-kit-at-plantworx_5986.htm","South Wales-based machinery dealer EMS Limited is attending its first Plantworx show in June displaying a variety of equipment from its range of Optimas material handling solutions. Located in Germany, Optimas has been manufacturing machinery and attachments for the paving industry since 1978. The wide range of equipment manufactured by Optimas encompasses both the preparation of the ground prior to paviour laying and also the handling of paviours, kerbs and edgings. All its products have been designed to make the installation easier, safer and quicker allowing site teams to complete projects in a shorter space of time. EMS Limited will be showcasing the Optimas VPM self-propelled vacuum kerb layer on stand C-NB11 with demonstrations on C-NC2. The VPM is designed to handle a standard pallet with a maximum width of 1,320mm and has a carrying capacity of 1,600kg. The VPM’s bult-in crane arm, can lift a 140kg kerb stone and work a full 360-degree radius around the machine moving the load safely to a distance of 3m. Powered by a Honda petrol or Hatz diesel engine, the VPM allows safe and simple positioning of heavy slabs or kerbs by a single person.    <img alt="""" class=""inline-image"" height=""600"" src=""/ugc-1/1/6/0/PHOTO-2023-05-18-17-42-15.jpg"" width=""800""/> The VPM will be joined by the Optimas Finliner, the multi-talented bucket designed for accurate material placement for hard shoulders, foundation for kerbs and gutters and for backfilling of trenches. The Finliner can be filled with material as a conventional bucket or straight from a dumper or tipper and allows material to be accurately placed and levelled via a conveyor belt and outlet guide. The third Optimas product Sean and his team will be showing is the Multi6 M paver clamp. Designed to be carried by any conventional excavator, backhoe loader or wheeled loader, the Multi6 M can pick up paviours covering 0.6m<sup>2</sup> up to 1.5m<sup>2</sup> and up to 240mm thick before accurately placing them onto a prepared surface. The simple, yet effective design allows for the rapid and safe installation of large areas of paving by a single operative. "
19 May 2023,Screencore XJ Dual-Power tracked jaw crusher,"https://www.earthmoversmagazine.co.uk/news/view,screencore-xj-dualpower-tracked-jaw-crusher_5983.htm","Screencore has launched a new XJ Dual-Power tracked jaw crusher – a diesel-electric 1,000mm x 650mm machine designed for the processing of minerals and recycling construction materials in a compact and easily transportable form. The 29,500kg XJ’s features include a jaw level sensor, electric plug in, push-button hydraulic CSS wedge adjustment and a bolted mainframe jaw construction. In addition, for inner city material recycling operations, the crusher is equipped with a dust suppression system, overband magnet and an optional deflector plate. "
18 May 2023,Engcon DC3 control system for Cat excavators,"https://www.earthmoversmagazine.co.uk/news/view,engcon-dc3-control-system-for-cat-excavators_5980.htm","Engcon’s next generation DC3 control system is compatible with Cat’s latest hydraulic excavators ranging from 13 to 35 tonnes, the Swedish manufacturer has confirmed. This will make installation of engcon tilt-rotators and control system on Caterpillar excavators easier than ever before. The engcon DC3 control system for engcon tilt-rotators is based on a new hardware and software platform which makes installation and connection towards machine manufacturer provided interfaces easier compared to the conventional aftermarket installation of today. Utilising the interface for third party tilt-rotator support now available on Cat next-generation hydraulic (NGH) excavators, makes the installation of engcon tilt-rotators into an operation completed in hours instead of days. By making engcon’s next generation tilt-rotator control system adaptable to Caterpillar's third interface, installations are not only made simpler, the customer can now also enjoy all the technology features offered with the Cat NGH in combination with an engcon tilt-rotator. The interface allows the tilt-rotator to be seamlessly controlled via the Cat NGH joysticks. It is also fully compatible with engcon’s second generation of positioning solution, ePS v2, allowing the tilt-rotator to send both tilt and rotation information directly to the machine. The positioning information can then be used in Cat NGH; Cat Grade solutions, CatPayload and Cat E-Fence features. A tilt-rotator from engcon is now fully compatible and customers can now leverage all the technology Cat NGH excavators have to offer, all while leaving the cabin intact and without additional sensors. The engcon system compatible with CAT third party interface will be available on the market later this year. "
18 May 2023,HWM Group launches new website,"https://www.earthmoversmagazine.co.uk/news/view,hwm-group-launches-new-website_5978.htm","Winchester-based company, HWM Group is celebrating 13 years in business with the launch of a new website. HWM provides demolition, contaminated soil solutions and groundworks contracting services to a wide range of commercial clients across the south of England. Recent projects include a demolition contract in the Solent Freeport’s Navigator Quarter in Eastleigh where work is well underway to create new top quality employment space and sustainable business opportunities for the future. Further afield in Portsmouth, HWM Group is providing demolition and civil engineering services on the Morgan Sindall Group PLC Cosham Fire Station project.   HWM Group Director, Chris Lynch said, “The services we provide are delivered to the highest standards with an emphasis on sustainability and respecting the environment. Recycling and re-use of materials on site are at the heart of all our work. Hazardous Waste Management’s HWM’s particular expertise in removal and cleaning of contaminated soil has made us market leaders in the treatment of both hazardous and non-hazardous contaminated soil on site and at our own dedicated specialist facilities.” Check out HWM Group’s new website here: <a href=""http://www.hwmgroup.co.uk"" target=""_blank"">www.hwmgroup.co.uk</a>. "
17 May 2023,Sennebogen 728e with Xwatch Safety System,"https://www.earthmoversmagazine.co.uk/news/view,sennebogen-728e-with-xwatch-safety-system_5975.htm","Coombes, a provider of forestry and rail services, has recently acquired a new Sennebogen 728e material handler to enhance its operations. The company has also partnered with Xwatch Safety Solutions to install its advanced safety system on the new machine in the coming weeks. Last week, Coombes welcomed the arrival of the Sennebogen 728e, supplied by Molson Group, to its fleet. Eager to put it to the test, the company headed over to Avonmouth Docks for a trial run. Coombes already relies on the slightly smaller Sennebogen 718, which has proven to be a reliable workhorse for the company’s various projects, particularly in roadside tree works and rail vegetation management on third-party land. With the new addition of the Sennebogen 728e, equipped with the state-of-the-art 1650 Vosch Equipment grapple saw, Xwatch Safety Solutions control system, and an impressive 21m reach, Coombes expands its capabilities and aims to deliver even greater value to its forestry and rail clients. The company encourages industry professionals to keep an eye out for its new machine at the upcoming Rail Live event in June. "
17 May 2023,New Cat 836 Landfill Compactor,"https://www.earthmoversmagazine.co.uk/news/view,new-cat-836-landfill-compactor_5976.htm","The new Cat 836 Landfill Compactor boasts engineering upgrades to the axles and transmission to increase durability of the heavy-duty main structures that support multiple life cycles. New standard technologies also increase machine efficiency by allowing the operator to meet compaction targets in fewer passes to save on fuel. The Cat torque converter with lock-up clutch eliminates torque converter losses while lowering system heat and transfers more power to the ground for improved traction. Its advanced productivity electronic control system (APECS) transmission control helps the compactor to achieve greater momentum on grades and delivers fuel savings by carrying momentum through shift points. Two configuration options for the Cat C18 engine powering the 836 allow the compactor to meet local emissions regulation requirements around the world. Improved radiator air inlet door sealing and carry over pressure hood enclosure help to reduce the need for engine compartment cleanout. Helping to facilitate maintenance planning, data captured alerts key personnel to the remaining useful life of the engine air filter. Advanced compaction technologies Cat Compact technologies combine advanced compaction measurement, in-cab guidance and reporting, so compaction targets are met quickly, uniformly and in fewer passes to save on fuel. The system includes a global navigation satellite system (GNSS) receiver on top of the 836 and mapping display inside the cab. Standard Cat Compact with Pass Mapping delivers high-accuracy pass counting, allowing operators to monitor areas of coverage and number of passes on the 10-inch display. Optional Compact Elevation Mapping combines both pass counting and elevation monitoring of slopes to plan, control layer thicknesses and achieve better density. Visualised remotely via VisionLink to improve fleet management, standard Cat Link technology provides access to machine location, hours, fuel consumption, idle time, events and diagnostic codes. Operators are kept informed about machine operating conditions through a 3G touchscreen with user-friendly interface for viewing the vital information management systems (VIMS) data to optimise machine uptime. <img alt="""" class=""inline-image"" height=""450"" src=""/ugc-1/1/6/0/Cat836_3.jpg"" width=""800""/> Reliability and maintenance The new Cat 836 features larger diameter shafts and Cat locker differentials for enhanced drive system longevity, improved direction shift speed and increased traction in the waste stream. Updates to the final drive gear set reduce stress and enhance pitting life of the gear. A new fan motor guard helps to prevent bag wrapping, while a new, 5-inch higher efficiency fuel filter delivers cleaner fuel to the engine. The new compactor is designed for ease of service and inspection with a focus on safety, as most major components are accessed from ground level or on the machine’s platform. Minimising fluid contamination, sight gauges for coolant, transmission and hydraulic oil provide a quick visual inspection. Increased guarding around the axles mitigates risks of damage to components. Leveraging VIMS data allows operators and technicians to resolve machine issues prior to failure. Efficient performance The enhanced operator’s environment of the 836 includes better forward visibility to the blade and wheels via the lowered glass design. Its standard rear-view camera increases visibility to the machine’s rear, helping to advance safe operation. A pressurised, climate-controlled cab is built for operator comfort and provides low, 72dBA interior sound levels. Combining steering, gear selection and other functions into a single lever, the Cat STIC (steering and transmission integrated control) delivers maximum responsiveness and control to reduce operator fatigue and increase performance.    Designed specifically for Cat landfill compactors to optimise compaction, five wheel and tip configurations are available for the new 836. The lighter paddle tip design delivers high performance and traction with less fuel burn, while the plus tip traditional design increases stability on side slopes. The combination tip wheel incorporates both the paddle and plus tips to provide the best compromise of performance and fuel economy with side slope stability. Caterpillar says its diamond tip wheel delivers the longest tip life on the market, and the chopper tip design excels at compacting wet/soft waste material. The new Cat 836 Landfill Compactor has scheduled availability in August 2023. WasteExpo 2023 attendees will be among the first to see the new compactor design in Caterpillar booth 1519, May 2nd to 4th in New Orleans, USA. <img alt="""" class=""inline-image"" height=""451"" src=""/ugc-1/1/6/0/CatVibCom_1.jpg"" width=""800""/> Vibratory soil compactors Elsewhere in Caterpillar’s product range, the manufacturer is simplifying the names of its  vibratory soil compactors. To correlate with the GC models in the compaction product family, all models within the soil compactor line will feature weight-based names derived from the metric tonnage class in which the model competes. Additionally, the model series descriptor letter suffix will be removed. The Cat CS10 GC, CS11 GC and CP11 GC Vibratory Soil Compactors retain their current nomenclature. "
16 May 2023,New Volvo R60 rigid hauler,"https://www.earthmoversmagazine.co.uk/news/view,new-volvo-r60-rigid-hauler_5974.htm","The new Volvo R60 rigid hauler from Volvo Construction Equipment (Volvo CE) has been designed to get the most out of every working day – to move more for less with a higher payload and greater uptime. The all-new E-generation Volvo R60 rigid hauler is the perfect partner for heavy-duty quarrying and mining, reckons its maker. Built for markets with tier 2-compliant engines and based on the R100E model, the R60 packs a higher payload than the D-generation model it replaces, along with a durable design and new comfort and safety-enhancing features – enabling it to move more for less with every cycle. Big on efficiency Drew Watson, Global Product Manager for the Volvo R60 at Volvo CE explained, “The Volvo R60 offers a 55-tonne payload and body volume of 36m<sup>3</sup>, enabled by a V-shaped body ensuring optimum load retention and minimal material carry-back. The rigid hauler is a perfect match for a 90-tonne excavator and meets the industry standard of 10/10/20 where it can take 10% overload for 10% of the time but should not exceed 20%. “To help operators haul the optimum amount of material, an optional On-Board Weighing system provides real-time payload insight to the hauler operator via the on-board display, and can predict the 10/10/20 payload,” Drew added. Contributing to speedy cycle times, the drivetrain combines high torque capability and high drive axle multiplication to deliver the traction force needed to take on the steepest site gradients. Not only is it productive, but the Volvo R60 is also fuel efficient. Thanks to Volvo Dynamic Shift Control, gear selection automatically adapts to varying conditions, whilst Eco mode enables the hauler to default to the most efficient gear shifting schedule. In addition, auto engine-idle shut-down eliminates unnecessary fuel consumption and engine wear. The rigid hauler is available with the Volvo CareTrack telematics system to enable remote machine monitoring and help boost efficiency even further. What’s more, customers can gain recommendations on the optimum fleet configuration and site set-up from their Volvo dealer, with the support of Volvo Site Simulation. Strong and durable Designed to deliver high uptime and low operating costs, Volvo says the R60 is built to last with a 60,000-hour life frame and a list of features that contribute to long-lasting performance and component life, including a low centre of gravity and balanced weight distribution to provide rock-solid stability and spread the impact of loads and stresses across the machine; a high-strength, flexible chassis and responsive MacPherson strut with lower wishbone connection to absorb shocks and vibrations and improve the operator ride; a V-shaped body, manufactured from high impact and high abrasion resistant steel, with minimal number of panels and welds; and neutral coast inhibitor and engine overspeed protection to further minimise wear. Servicing of the R60 is required every 500 hours and can be completed swiftly thanks to a straightforward machine design that includes grouped maintenance points located within easy reach either from the ground or the service platform, as well as common-sized bearings throughout. On-board diagnostics provide insights into system pressures and temperatures, and fault reporting to facilitate and speed-up troubleshooting. Comfortably productive Operators can enter the cab from both sides using anti-slip steps and walkways. The cab is now pressurised, Roll/Fall-OverProtective Structure-certified (ROPS/FOPS) and features a left-positioned operator station to aid safe passing. Volvo Smart View is an added option to improve visibility even further with a 360-degree birds-eye view of the work zone. Ergonomically positioned displays, responsive fingertip controls and low-effort steering combine to make operation effortless. The adjustable air-suspended seat and a Bluetooth-enabled audio system add to operator comfort. The Volvo R60 is equipped with two retardation systems to keep a steady speed and facilitate machine navigation when going downhill, reducing the need for operator input. When manually selected, the transmission retarder slows the drivetrain to limit wheel lock-up, particularly useful on steep declines or in wet conditions. The modulating braking retarder can be automatically activated when the operator’s foot is off the accelerator to maintain a gear selected constant engine speed. What’s more, fail-safe braking and secondary steering systems add to jobsite safety. "
16 May 2023,Komatsu excavator with hydrogen fuel cell,"https://www.earthmoversmagazine.co.uk/news/view,komatsu-excavator-with-hydrogen-fuel-cell_5973.htm","Komatsu has developed a new concept medium-sized hydraulic excavator that combines a hydrogen fuel cell and Komatsu-developed key components to achieve carbon neutrality at workplaces of construction equipment. By advancing the PoC (Proof of Concept) tests it started in May 2023, Komatsu has accelerated its efforts to embark on the commercial production of medium-sized and large construction equipment powered by hydrogen fuel cells in the near future. In its mid-term management plan, Komatsu committed to minimising environmental impact throughout its business, targeting a 50% reduction in CO2 emissions from use of its products and production of its equipment by 2030 (compared to 2010 levels) and a challenge target of achieving carbon neutrality by 2050. To help its customers achieve carbon neutrality, Komatsu has been providing a variety of products, services, and solutions that reduce environmental impact, such as hybrid hydraulic excavators and electric mini excavators. Komatsu is also engaged in research and development to provide products equipped with new power sources. For the new concept machine, Komatsu adopted a hydrogen fuel cell system and hydrogen tank, which were produced by Toyota Motor Corporation, on Komatsu’s medium-sized hydraulic excavator. In addition to Komatsu’s control technology, the combination of Toyota’s hydrogen fuel cell system and Komatsu key components, Komatsu is working towards zero exhaust emissions and a significant reduction in noise and vibration, while delivering the same powerful digging performance and high operability as engine-driven excavators. Medium-sized and large construction equipment both require a power source with higher energy density than that of small construction equipment, which has led to the move to electrification with batteries. Because hydrogen has a higher energy density and can be refuelled in a shorter time than is required for recharging batteries, Komatsu has been advancing its R&D efforts as a promising electrification choice for medium-sized and large models. To contribute to realising a hydrogen society and carbon neutrality, Komatsu will continue its efforts towards the commercial production of medium-sized and large construction machinery equipped with hydrogen fuel cells by conducting PoC tests of this new concept machine. "
15 May 2023,JCB receives £3m order from EMR,"https://www.earthmoversmagazine.co.uk/news/view,jcb-receives-3m-order-from-emr_5971.htm","JCB has landed its biggest ever UK order for electric equipment after EMR, a global leader in sustainable materials, bought 50 electric Teletruk models, in a deal worth more than £3 million. EMR recycles over 8 million tonnes of metals and plastics each year – anything from an aircraft carrier to a can. It has purchased the fleet of JCB electric Teletruk models for handling non-ferrous metals and end-of-life vehicles, across its nationwide UK sites. Supplied by dealer Gunn JCB, they replace an existing fleet of competitive diesel models. EMR’s Regional Commercial Manager, Giles Mogg said, “We believe we have a key role to play to help protect our planet for future generations. The switch to JCB electric Teletruks is one of a number of significant steps we have taken to reduce the carbon intensity of our business, on our journey to be carbon net-zero by 2040. They are fantastic, productive machines that will make a positive difference to our fleet.” The JCB 30-19E and 35-22E electric Teletruks are part a new generation of innovative products from the JCB E-TECH range of equipment, which deliver zero emissions at point of use without compromising performance. The forward reach electric forklifts feature a unique telescopic boom and are capable of a full 8-hour shift on a single charge. Their small turning circle and single side-loading capability make them more productive on materials handling work, inside and outdoors. The 35-22E boasts a max lift capacity of 3,500kg and max lift height of 4m. At 2m, lift capacity is 2,220kg. The 30-19E model has a maximum lift capacity of 3,000kg and max lift height of 4m. Lift capacity is 1,900kg at 2m. "
15 May 2023,Yanmar at Plantworx,"https://www.earthmoversmagazine.co.uk/news/view,yanmar-at-plantworx_5970.htm","Yanmar Compact Equipment EMEA (Yanmar) will be rolling out the red carpet for its 'Premium Red’ machines this June at Plantworx 2023. Visitors to the show can get a closer glimpse at all Yanmar units on Stand B-FB10, ranging between its traditional mini-excavator models and wheel loaders, to new future-ready prototypes. Yanmar’s presence at Plantworx 2023 wouldn’t be complete without its conventional tail swing excavators, including the urban and landscaping-ready SV26 (2,740kg operating weight / OW). It combines the largest cabin in its class with a 1,550mm width, delivering first-class performance and operator comfort in a surprisingly compact package. It will be joined by Yanmar’s ultra-tough and versatile SV15<sub>VT </sub>(1,685kg OW), with a unique track frame layout that features three bottom rollers and an extendable undercarriage. It is fully adaptable to the task at hand and rental ready, says Yanmar. The SV60-6B (5,655 to 5,685kg OW) is also making an appearance, which uses technology and innovation to offer the performance of a midi excavator, with the benefits of a compact excavator. Designed to work effectively even in tight spaces – thanks to its 1,970mm width – the SV60-6B also features numerous design touches for operator and comfort (for example, rear-view camera, adjustable air-suspended seat, progressive ViPPS hydraulic system). All conventional tail swing units will be accompanying their little brother at the show: Yanmar’s smallest conventional tail swing excavator, the SV08-1C (1,035kg OW). Weighing less than one tonne, this ultra-mini (yet mighty) machine has an undercarriage that retracts from 840mm to 680mm, making it ideal for indoor tasks such as renovation or demolition, where it can easily access narrow areas and drive through almost any doorway. The minimum front swing radius with boom swing is 985mm, and the rear swing radius just 725mm.  <img alt="""" class=""inline-image"" height=""699"" src=""/ugc-1/1/6/0/image-3.jpeg"" width=""800""/> Zero tail swing excavators The conventional tail swing units aren’t the only stars of the show – also present is a selection of Yanmar’s zero-tail swing excavators, including the ViO27-6 (2,770kg OW). It’s advanced engine with an output of 15.8kW at 2,500rpm and excellent weight distribution offer standout-performance and stability, reckons its maker. The ViO27-6 will be joined by the efficient and powerful ViO57-6B (5,505kg OW), with its 28.3kW TNV 4TNV86CT-PBV engine that meets EU Stage 5 emission requirements, and electronic controls offering precision power as well as first-rate fuel economy. Completing the zero-tail swing excavator trio is the low-emission ViO82 (8,200kg OW), with a four-cylinder engine that delivers a net power of 39.3kW at 1,900rpm, as well as maximum stability and exceptional lifting strength. The ViO82 features direct injection and a common rail system, along with a range of other eco-friendly features to ensure it meets all EU standards for emissions. Tracked and wheeled units Compact tracked carrier C30R-3TV will also be making a red-cladded appearance, which comes mounted on a frame that turns 90 degrees left and 90 degrees right to maximise loading, carrying and unloading performance for operators. With a total width of just 1,390mm, it performs in even the toughest conditions and the smallest sites, and its 360-degree spin-turn offers greater efficiency and productivity. Despite its compact dimensions, the C30R-3TV packs an impressive payload of 2,500kg heaped. Yanmar’s B95W wheeled excavator (9,100 to 9,500kg OW) is also being showcased, with its precise hydraulic system that can transport and position heavy loads with precision. Ideal for moving materials, the B95W has applications that span road construction and horticulture, where the grab bucket is especially useful for loading trucks. It comes with various boom options, three steering modes; and with a road speed of up to 36 km/h, zooms from one job to another. Wheel loader prototypes Last but certainly not least, Yanmar will be giving visitors a sneak peek of its all-new compact V7HW wheel loader prototype – with its clever articulation/oscillation joint. Expected to be formally launched after September 2023, Yanmar’s initial V7HW prototype is based on a new platform that can support both diesel and electric power trains. It does not use rear exterior oscillation, but rather a features clever joint which lowers the height of the machine, meaning it can fit in standard containers and be transported on road more easily. "
