word,count
new,530
system,201
operator,194
uk,175
range,173
plant,170
,169
jcb,157
engine,152
first,151
excavator,146
fuel,139
customers,138
power,137
control,137
up,133
loader,115
compact,111
technology,108
site,107
time,103
cab,99
service,99
excavators,97
well,97
performance,96
hydraulic,96
electric,96
bobcat,91
wheel,90
design,89
support,86
safety,86
fleet,86
maintenance,86
operators,84
high,83
efficiency,83
productivity,78
hire,75
production,73
systems,72
hydrogen,71
doosan,71
loaders,70
battery,68
operation,68
model,68
stage,67
latest,67
attachments,66
emissions,64
management,62
dealer,60
brand,60
applications,60
machinery,59
help,59
solutions,58
world,58
increased,57
increase,57
part,57
full,57
further,56
just,56
director,56
development,56
easy,55
mini,54
operations,54
engines,54
include,54
diesel,53
bucket,53
global,52
capacity,52
visibility,52
hyundai,51
5,50
make,50
providing,50
addition,50
projects,50
last,50
powered,50
large,50
added,49
waste,49
small,48
display,48
ireland,48
deliver,48
cpa,48
manager,47
reduce,47
training,47
services,47
demolition,46
mining,46
trucks,45
meet,45
life,45
better,45
future,44
engineering,44
improved,44
finning,44
manufacturer,44
costs,43
plantworx,43
key,43
making,42
lift,42
level,41
next,41
parts,41
load,41
quick,41
develon,41
ensure,41
sany,40
larger,40
generation,40
steering,40
excellent,40
offering,40
continued,40
lower,40
less,40
industrial,39
needs,39
boom,39
ground,39
sector,39
europe,38
leading,38
lifting,38
sites,38
efficient,38
complete,38
comfort,38
companies,38
kubota,38
energy,37
includes,37
areas,37
solution,37
great,37
zero,37
miniexcavator,37
forward,37
rear,37
ltd,36
set,36
stand,36
consumption,36
tracked,36
track,36
attachment,36
speed,36
drive,36
together,36
heavy,35
data,35
remote,35
backhoe,35
existing,34
technologies,34
number,34
required,34
specialist,34
reducing,34
yanmar,34
largest,34
recycling,34
option,33
maximum,33
delivers,33
swing,33
controls,33
continue,33
challenge,33
torque,33
ideal,33
significant,33
low,33
wide,32
unique,32
advanced,32
sustainable,32
back,32
commitment,32
transmission,32
r,32
major,31
transport,31
line,31
made,31
improve,31
air,31
compared,31
mode,31
growth,31
additional,31
charity,31
scotland,31
recently,31
makes,31
quality,30
north,30
demand,30
local,30
position,30
size,30
merlo,30
built,30
move,29
xwatch,29
day,29
event,29
loading,29
focus,29
charge,29
needed,29
get,29
top,29
flow,29
experience,28
launched,28
digging,28
installed,28
cost,28
side,28
executive,28
mobile,28
long,28
best,28
joystick,28
process,28
mark,28
software,27
pressure,27
second,27
contractors,27
automatic,27
end,27
every,27
supply,27
combustion,27
skills,27
allowing,27
levels,27
operate,27
place,27
3d,27
force,26
handling,26
truck,26
front,26
following,26
alongside,26
right,26
centre,26
network,26
height,26
environmental,26
building,26
single,26
oil,26
easily,26
growing,26
