word,count
electric,150
customers,56
new,53
solutions,51
site,50
wheel,46
excavator,41
loaders,33
load,32
machines,32
industry,31
work,30
operator,30
available,28
business,27
america,27
compact,26
company,26
north,25
production,25
first,25
sales,23
connected,22
fossilfree,22
emissions,22
market,22
system,22
assist,21
excavators,21
service,21
dd25,21
loader,20
time,20
operators,20
future,20
group,19
markets,19
working,18
safety,18
solution,18
compaction,18
transformation,17
manager,17
range,17
steel,17
including,17
development,17
jobsite,16
help,16
europe,16
zero,16
show,15
sustainable,15
asphalt,15
important,15
head,15
l25,15
building,15
change,15
operation,14
global,14
investment,14
ec230,14
increased,14
control,14
map,14
world,14
charging,14
power,13
materials,13
up,13
view,13
president,13
applications,13
operations,13
office,13
another,12
conexpo,12
way,12
task,12
services,12
productivity,12
drive,12
net,12
battery,12
hours,12
like,12
last,12
performance,12
process,12
helping,12
products,11
sweden,11
made,11
compactor,11
same,11
high,11
carbon,11
better,11
continue,11
free,11
facility,11
take,11
well,11
emission,11
sek,11
booth,11
designed,10
together,10
efficiency,10
benefits,10
operating,10
ec500,10
contracts,10
plant,10
continued,10
infrastructure,10
large,10
part,10
track,10
works,10
need,10
based,10
product,10
management,10
copilot,10
trucks,10
set,10
maintenance,10
accidents,10
technology,10
job,9
mapping,9
step,9
allows,9
around,9
sustainability,9
many,9
jernberg,9
soil,9
model,9
zeroemission,9
midsize,9
south,9
visibility,9
korea,9
changwon,9
partners,9
activity,9
driving,9
own,9
information,9
m,9
dealer,9
million,9
melker,9
reduce,9
built,8
arvika,8
financial,8
fuel,8
collision,8
attendees,8
las,8
comes,8
via,8
hall,8
2040,8
goals,8
providing,8
crh,8
right,8
hauler,8
vegas,8
finance,8
next,8
app,8
contract,8
functionality,8
thanks,8
makes,8
allowing,8
milestone,8
packages,8
easily,8
addition,8
demand,8
material,8
allow,8
targets,8
quarter,8
china,8
projects,8
increase,8
areas,7
recycling,7
two,7
lead,7
articulated,7
generation,7
just,7
role,7
features,7
paper,7
existing,7
today,7
order,7
position,7
stockholm,7
further,7
supply,7
data,7
regulations,7
climate,7
ideal,7
risk,7
committed,7
intelligent,7
requirements,7
introduction,7
cab,7
orders,7
larger,7
largest,7
gold,7
good,7
remained,7
already,7
l120h,7
mitigation,7
due,7
choose,7
smart,7
provide,7
value,7
key,7
leading,7
investments,7
offers,7
urban,6
different,6
diesel,6
ssab,6
onboard,6
find,6
coming,6
realtime,6
lower,6
detection,6
adjusted,6
depending,6
taking,6
access,6
experts,6
expected,6
clear,6
three,6
full,6
obstacle,6
line,6
commitment,6
speed,6
ready,6
target,6
chain,6
complete,6
co2,6
core,6
begin,6
efficient,6
selected,6
compactors,6
delivering,6
forward,6
still,6
users,6
strategy,6
components,6
journey,6
footprint,6
provides,6
build,6
manufacturer,6
fossil,6
2030,6
truck,6
down,6
total,6
city,6
1,6
ecr25,6
times,6
ambition,6
conversion,6
tools,6
portal,6
project,6
significant,6
get,6
every,5
enables,5
levels,5
models,5
offered,5
press,5
enclosed,5
package,5
q4,5
zones,5
make,5
option,5
klara,5
needs,5
offer,5
operate,5
start,5
starts,5
making,5
conditions,5
electromobility,5
great,5
shift,5
powerful,5
cycle,5
partnership,5
costs,5
everyone,5
wide,5
meet,5
look,5
deliver,5
engineering,5
trade,5
application,5
pennsy,5
focus,5
tool,5
quarry,5
produced,5
reverse,5
factory,5
improved,5
currently,5
vision,5
comments,5
remote,5
reduction,5
inside,5
looking,5
play,5
3000,5
tons,5
manage,5
improve,5
charger,5
achieve,5
reach,5
dig,5
become,5
cost,5
powered,5
stay,5
reduced,5
level,5
reducing,5
electrification,5
enhanced,5
entire,5
cmv,4
unveiled,4
standard,4
tasks,4
35%,4
exhaust,4
tailored,4
functions,4
include,4
brings,4
approximately,4
activities,4
alerts,4
support,4
science,4
useful,4
23ton,4
weighing,4
greenhouse,4
gas,4
finished,4
partner,4
least,4
benefit,4
latest,4
reports,4
comfort,4
commercially,4
best,4
action,4
environments,4
less,4
created,4
select,4
options,4
single,4
road,4
request,4
ec250e,4
enabling,4
function,4
environment,4
fitted,4
charge,4
uptime,4
upon,4
sites,4
integrated,4
avoid,4
easy,4
blue,4
impact,4
mind,4
lite,4
accessed,4
result,4
web,4
completely,4
worksite,4
managers,4
proven,4
delivered,4
status,4
hydraulic,4
visit,4
required,4
variety,4
expand,4
possible,4
capacity,4
temporary,4
—,4
size,4
facilities,4
q1,4
continues,4
handover,4
haulers,4
results,4
agenda,4
portfolio,4
keep,4
entsorgung,4
böhm,4
area,4
announced,4
digital,4
introduced,4
impacted,4
announcements,4
raw,4
waste,4
launch,4
appointed,4
effect,4
skanska,4
deliveries,4
philippe,4
outside,4
low,4
among,4
homes,4
fleet,4
six,4
popular,4
innovation,4
ongoing,4
jonas,4
team,4
alongside,4
strong,4
boost,4
increasing,4
biggest,4
international,4
reinsch,4
challenges,4
jobsites,4
manuel,4
driven,4
develop,3
