date,words
2022-05-12 00:00:00,
2022-05-12 00:00:00,president
2022-05-12 00:00:00,ceo
2022-05-12 00:00:00,ogawa
2022-05-12 00:00:00,developed
2022-05-12 00:00:00,concept
2022-05-12 00:00:00,medium sized
2022-05-12 00:00:00,hydraulic
2022-05-12 00:00:00,excavator
2022-05-12 00:00:00,combines
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,fuel
2022-05-12 00:00:00,cell
2022-05-12 00:00:00,komatsu developed
2022-05-12 00:00:00,key
2022-05-12 00:00:00,achieve
2022-05-12 00:00:00,carbon
2022-05-12 00:00:00,neutrality
2022-05-12 00:00:00,workplaces
2022-05-12 00:00:00,advancing
2022-05-12 00:00:00,poc
2022-05-12 00:00:00,proof
2022-05-12 00:00:00,concept
2022-05-12 00:00:00,tests
2022-05-12 00:00:00,started
2022-05-12 00:00:00,accelerate
2022-05-12 00:00:00,efforts
2022-05-12 00:00:00,embark
2022-05-12 00:00:00,commercial
2022-05-12 00:00:00,production
2022-05-12 00:00:00,medium sized
2022-05-12 00:00:00,large
2022-05-12 00:00:00,powered
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,fuel
2022-05-12 00:00:00,cells
2022-05-12 00:00:00,near
2022-05-12 00:00:00,future concept
2022-05-12 00:00:00,medium sized
2022-05-12 00:00:00,hydraulic
2022-05-12 00:00:00,excavator
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,fuel
2022-05-12 00:00:00,cell in
2022-05-12 00:00:00,mid term
2022-05-12 00:00:00,management
2022-05-12 00:00:00,plan
2022-05-12 00:00:00,committed
2022-05-12 00:00:00,minimizing
2022-05-12 00:00:00,environmental
2022-05-12 00:00:00,impact
2022-05-12 00:00:00,targeting
2022-05-12 00:00:00,50
2022-05-12 00:00:00,reduction
2022-05-12 00:00:00,co2
2022-05-12 00:00:00,emissions
2022-05-12 00:00:00,production
2022-05-12 00:00:00,2030
2022-05-12 00:00:00,compared
2022-05-12 00:00:00,2010
2022-05-12 00:00:00,levels
2022-05-12 00:00:00,challenge
2022-05-12 00:00:00,target
2022-05-12 00:00:00,achieving
2022-05-12 00:00:00,carbon
2022-05-12 00:00:00,neutrality
2022-05-12 00:00:00,2050
2022-05-12 00:00:00,help
2022-05-12 00:00:00,customers
2022-05-12 00:00:00,achieve
2022-05-12 00:00:00,carbon
2022-05-12 00:00:00,neutrality
2022-05-12 00:00:00,providing
2022-05-12 00:00:00,variety
2022-05-12 00:00:00,services
2022-05-12 00:00:00,solutions
2022-05-12 00:00:00,reduce
2022-05-12 00:00:00,environmental
2022-05-12 00:00:00,impact
2022-05-12 00:00:00,hybrid
2022-05-12 00:00:00,hydraulic
2022-05-12 00:00:00,excavators
2022-05-12 00:00:00,electric
2022-05-12 00:00:00,mini
2022-05-12 00:00:00,excavators
2022-05-12 00:00:00,engaged
2022-05-12 00:00:00,research
2022-05-12 00:00:00,development
2022-05-12 00:00:00,new
2022-05-12 00:00:00,power
2022-05-12 00:00:00,sourcesfor
2022-05-12 00:00:00,new
2022-05-12 00:00:00,concept
2022-05-12 00:00:00,adopted
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,fuel
2022-05-12 00:00:00,cell
2022-05-12 00:00:00,system
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,tank
2022-05-12 00:00:00,produced
2022-05-12 00:00:00,toyota
2022-05-12 00:00:00,motor
2022-05-12 00:00:00,corporation
2022-05-12 00:00:00,operating
2022-05-12 00:00:00,officer
2022-05-12 00:00:00,president
2022-05-12 00:00:00,koji
2022-05-12 00:00:00,sato
2022-05-12 00:00:00,hereafter
2022-05-12 00:00:00,toyota
2022-05-12 00:00:00,komatsu s
2022-05-12 00:00:00,medium sized
2022-05-12 00:00:00,hydraulic
2022-05-12 00:00:00,excavator
2022-05-12 00:00:00,addition
2022-05-12 00:00:00,komatsu s
2022-05-12 00:00:00,comprehensive
2022-05-12 00:00:00,control
2022-05-12 00:00:00,technology
2022-05-12 00:00:00,combination
2022-05-12 00:00:00,toyota s
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,fuel
2022-05-12 00:00:00,cell
2022-05-12 00:00:00,system
2022-05-12 00:00:00,key
2022-05-12 00:00:00,toward
2022-05-12 00:00:00,zero
2022-05-12 00:00:00,exhaust
2022-05-12 00:00:00,emissions
2022-05-12 00:00:00,significant
2022-05-12 00:00:00,reduction
2022-05-12 00:00:00,noise
2022-05-12 00:00:00,vibration
2022-05-12 00:00:00,delivering
2022-05-12 00:00:00,powerful
2022-05-12 00:00:00,digging
2022-05-12 00:00:00,performance
2022-05-12 00:00:00,high
2022-05-12 00:00:00,operability
2022-05-12 00:00:00,engine driven
2022-05-12 00:00:00,excavatorsmedium sized
2022-05-12 00:00:00,large
2022-05-12 00:00:00,requires
2022-05-12 00:00:00,power
2022-05-12 00:00:00,source
2022-05-12 00:00:00,higher
2022-05-12 00:00:00,energy
2022-05-12 00:00:00,density
2022-05-12 00:00:00,small
2022-05-12 00:00:00,led
2022-05-12 00:00:00,move
2022-05-12 00:00:00,electrification
2022-05-12 00:00:00,batteries
2022-05-12 00:00:00,hydrogen
2022-05-12 00:00:00,higher
2022-05-12 00:00:00,energy
2022-05-12 00:00:00,density
2022-05-12 00:00:00,refueled
2022-05-12 00:00:00,shorter
2022-05-12 00:00:00,time
2022-05-12 00:00:00,recharging
