뉴스구분,날짜,링크,제목,요약,본문
By Press information,6/20/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-to-set-up-a-new-compact-business-unit/,VOLVO CONSTRUCTION EQUIPMENT TO SET UP A NEW COMPACT BUSINESS UNIT,In order to maximize the opportunities in the growing compact equipment segment Volvo Construction Equipment (Volvo CE) has today announced the launch of a new Compact Business Unit.,"The new Compact Business Unit will:
Take advantage of the shift to electrification in the compact equipment segment to secure a fully electric line up of productive and sustainable products across the whole compact range.
Have responsibility for the whole value chain including development, assembly, purchasing and the go-to-market strategy (together with the existing distribution network) for the Compact offering, increasing touch points with customers.
Operate as an independent entity within Volvo CE, fully focused on maximizing the opportunities in the growing market for compact equipment.
Initially be responsible for compact excavators up to 9 tons and compact wheel loaders up to the L50 model.
As part of its ambition to lead the transformation journey through electrification and sustainable power, Volvo CE has set up a dedicated business unit for its range of compact equipment machines and solutions, with the aim of driving growth and profitability in this important and growing product segment.
An increase in population and urbanization has led to the expansion of the construction sector throughout the globe – with a particularly strong increase in the demand for compact equipment. The segment now represents 50% of the total market, compared to 35% a decade ago, with the growth trend likely to continue.
This new global business unit is the latest step forward in the company’s ambitions to lead the transformation of the industry and provide dedicated productivity-boosting solutions built to fit customers’ evolving needs. Thomas Bitter, Volvo CE’s Head of Technology, will take on the role as Head of the Compact Business Unit, from September 2023.
He comments: “Our pioneering work in electrification and digitalization has positioned us as an innovator in compact equipment. And now because of compact equipment’s ever-growing influence on the market, we are focusing our attention on our compact machine portfolio to provide customers with productive and sustainable products and services. The people who join us in this journey will not only develop specialized skills in this important area but be playing an integral role in our wider purpose of building the world we want to live in.”
The new Compact Business Unit will be comprised of committed and passionate people currently within Volvo CE as well as external talent.
Volvo CE was early in leading the way by making an industry-first move to shift its entire branded compact range over to electric and stop development of new diesel variants, back in 2019. Since this strong signal to the market, it has launched five electric compact models: the ECR25 Electric, ECR18 Electric and EC18 Electric excavators and the L20 Electric and L25 Electric wheel loaders. The EC55 Electric excavator has also been introduced to China."
By Press information,6/14/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-moves-headquarters-to-eskilstuna-sweden/,"VOLVO CONSTRUCTION EQUIPMENT MOVES HEADQUARTERS TO ESKILSTUNA, SWEDEN","Volvo Construction Equipment (Volvo CE) has today announced that the company's global headquarters will move from its current location in Gothenburg, Sweden, to Eskilstuna, Sweden.","Eskilstuna is already a large cross functional workplace for Volvo CE, with around 2,500 employees from different functions. The move forms part of an ongoing project to strengthen collaboration and innovation with local educational, social and business hubs – such as Mälardalen University, with whom Volvo CE already enjoys a close partnership through which to develop future engineering talent and grow new perspectives and innovations to benefit the company.
The new Volvo CE corporate headquarters will be operational in Eskilstuna – already home to the company’s thriving Technology and Customer Centers – from August, 2023. With its foundations in Eskilstuna over 190 years ago, Volvo CE will be combining the strength of its history with the potential of its future thanks to ongoing investments into the customer center, technology test labs and its recently launched R&D test track.
Volvo CE is a large global company with 17 sites around the world. They all remain important locations for the company’s business, global presence and need to be close to all stakeholders. This announcement will not have an immediate impact on other global facilities or require any move of employees from their current locations to Eskilstuna. Volvo CE will also remain an important part of Volvo Group with its close collaboration in projects and sharing of partnerships to lead the industry transformation.
“With the rapidly changing environment we are living in and the culture we are building, it is a great opportunity to be present at one of our largest global sites. Having our headquarters here will strengthen our collaboration with local educational, social and business hubs, and bring us closer to our operational work. We will of course continue the great and important collaboration with our colleagues across the entire Volvo Group, as well as with our worldwide partners,” says Melker Jernberg, Head of Volvo CE.
“Volvo CE has had a presence in Eskilstuna from as far back as 1832 and it has always played an important role in the local community. We see this decision as boosting Eskilstuna’s image as an attractive business location for companies from Sweden and abroad,” says Jimmy Jansson, Chairman of the Executive Board of Eskilstuna Municipality.
Eskilstuna is located in Södermanland County, less than five hours from Gothenburg and within easy distance of both Vasteras and Arlanda international airports. As well as being the birthplace of Volvo CE, it has a rich industrial heritage that is recognized at one of the city’s popular attractions, the Munktell Museum. It is also known as a pioneer in recycling with the world’s first climate-smart shopping mall selling only recycled or second-hand goods."
By Press information,5/17/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-walks-the-talk-with-sustainability-demonstration-for-top-us-policymakers/,VOLVO CONSTRUCTION EQUIPMENT WALKS THE TALK WITH SUSTAINABILITY DEMONSTRATION FOR TOP US POLICYMAKERS,Volvo Construction Equipment (Volvo CE) brought its industry leading display of sustainable solutions for today and tomorrow to the Association of Equipment Manufacturers’ (AEM) Celebration of Construction on the National Mall event in Washington DC on May 14-16.,"By bringing commercial electric solutions – as well as pioneering prototypes like the Volvo HX04, the world’s first hydrogen fuel cell articulated hauler – to the heart of US government, Volvo CE demonstrates that change is already happening.
But change is not possible without collaboration. The AEM event is a chance to encourage legislators and policymakers to accelerate the infrastructure required to support these solutions.
Volvo CE steers the way with solutions that form part of its commitment to reach net-zero value chain greenhouse gas emissions by 2040.
Volvo CE played an important role at the Celebration of Construction on the National Mall event, held by the AEM on May 14-16. With its display, it demonstrated that sustainable solutions are available in the here and now, while also showcasing the potential for future technologies. With one of the largest industry line-ups of electric machines, Volvo CE is perfectly positioned to work with policymakers to support and accelerate their deployment.
Ray Gallant, VP Sustainability and Productivity Services at Volvo CE North America (left) with Mitch Landrieu, Senior Advisor to the President on Infrastructure
Stephen Roy, President of Region North America, Volvo CE, said: “We are delivering the solutions we need to reduce carbon emissions and build a better world, but it is policymakers who are making decisions every day that will impact how the equipment industry will grow. In the US, we need federal, state and local governments to ensure the necessary resources are deployed to support the transition to cleaner equipment.”
Solutions for today, like the EC230 Electric excavator, and tomorrow, such as the HX04 fuel cell prototype, were on display.
The AEM event brought together more than 40 construction industry manufacturers and infrastructure-focused organizations to the National Mall, the renowned civic center at the heart of US government in Washington DC. Policymakers visiting the Volvo booth included Mitch Landrieu, Senior Advisor to the President on Infrastructure and Rep. Rick Larsen, Ranking Member of the House Transportation and Infrastructure Committee, as well as a number of senior US representatives and leadership from the U.S. Department of Energy.
Ray Gallant (right) with US Representative John Joyce test driving the L20 Electric
The aim of the event was to educate policymakers, as well as the general public, on the societal benefits of modern construction equipment, while urgently driving forward the required collaboration. Volvo CE stated that permitting reform is needed to modernize the electric grid and increase domestic production of critical minerals, while federal and state investments and incentives are needed to help manufacturers remain competitive in tomorrow's markets with reliable and diversified supply chains.
On display at the Volvo CE booth were the L20 Electric and L25 Electric compact wheel loaders, the ECR18 Electric and ECR25 Electric compact excavators, the DD25 Electric asphalt compactor, the mid-size EC230 Electric excavator – one of Volvo CE’s largest electric machines which will be made commercially available in North America in 2024 – and the innovative HX04, the world’s first hydrogen fuel cell articulated hauler prototype.
US Representative Rick Larsen, Ranking Member of the House Transportation and Infrastructure Committee (right) with, from left, Stephen Roy and Ray Gallant from Volvo CE"
By Press information,4/20/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/strong-start-to-2023-for-volvo-construction-equipment/,STRONG START TO 2023 FOR VOLVO CONSTRUCTION EQUIPMENT,"Robust earnings and continued demand in Europe and North America have helped Volvo Construction Equipment (Volvo CE) increase global sales by 11% this Q1, 2023.","In Q1, 2023, Volvo CE has secured good profitability and a boost to its operating margin with continued demand in large infrastructure and construction projects – particularly in North America and Europe – while increasing its own investments into the biggest technological shift in the industry’s history. 

Compared to the same period last year, Volvo CE is reporting a strong boost in sales of 17% in Europe and 37% in North America. This is more than compensating for a dip in sales in Asia and South America where investment levels have slowed down. With the exception of China, activity in the construction industry has continued to be good across most markets, driven primarily by ongoing infrastructure investments and by the mining industry, which benefits from continued good commodity prices.

Melker Jernberg, President of Volvo CE, says: “Strong profitability and robust sales like the kind we see this quarter is of course important to us and is a testament to the great products and service solutions we continue to bring to the market. But these results also allow us to maintain our industry lead in the sustainable transformation, increasing our investments into zero emission solutions and demonstrating innovative partnerships in what is no doubt the biggest technological shift ever to happen in our industry.”

For the first quarter this year, Volvo CE increased net sales by 11% to SEK 25,109 M from SEK 22,613 M in Q1, 2022 – with the majority coming from machine sales, while service sales remained flat. Adjusted operating income amounted to SEK 4,587 M (from SEK 2,810 M), corresponding to an adjusted operating margin of 18.3%, way up from 12.4% last year. Operating income was positively impacted by a favorable brand and product mix, minimally offset by lower volumes, increased material costs and R&D expenses.

Despite net order intake declining this quarter – heavily impacted by an anticipated drop in China following the pre-buy effect of the emissions regulations change that came in at the end of last year – it was North America that saw the most significant increase of 107% driven by a favorable market outlook. Deliveries in China and Brazil slowed down, while deliveries in North America and Europe, excluding the stopped sales in Russia, increased.
MARKET DEVELOPMENT
Overall, demand in major markets outside China remained stable this Q1, with notable growth in North America, where many large infrastructure projects and strong commercial construction more than offset a weakness in residential construction amid high interest rates, and in Europe, where construction activity was positively influenced by rental fleet replacements. In South America however, investment levels slowed due to lower business confidence among customers in Brazil. Development in Asia remained flat, due in part to the Chinese market reporting a significant negative correction due to the pre-buy effect of emissions regulations and low economic activity.
While there was fluctuation across the regions, Volvo CE’s global investment into sustainable power solutions continued this quarter – including milestone investments into battery pack production at its excavator plant in Changwon, South Korea and into electric wheel loaders at its Arvika facility in Sweden.
Among the launches already this year was the L120H Electric Conversation wheel loader, fulfilling market appetite for more sustainable solutions in the mid-size range. The introduction of electric products in new markets continued, with a notable launch of the zero-emission EC55 Electric excavator in India.
Another significant success this quarter was the CONEXPO trade show in Las Vegas in March, where Volvo CE launched a range of new service offerings in North America such as Connected Map, Task Manager and Global Load Out solutions, all designed to increase connectivity, productivity and sustainability in work site solutions. The event also marked the handover of the first articulated hauler made from fossil-free steel in North America to a customer, CRH (pictured).
Table 1. Volvo Construction Equipment, net sales by market area, in Millions of Swedish Krona"
By Press information,3/23/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/kamel-sid-appointed-head-of-operations-at-volvo-ce/,KAMEL SID APPOINTED HEAD OF OPERATIONS AT VOLVO CONSTRUCTION EQUIPMENT,Volvo Construction Equipment (Volvo CE) has announced that Kamel Sid has been appointed Head of Operations.,"Kamel, who has held the position of acting Head of Operations since last September when Jean Marc des Courieres retired from the position, is responsible for the smooth running, efficiency, quality and output of Volvo CE’s global operations.

He says: “I am thrilled to continue working with our many passionate and committed colleagues in Operations and together drive our transformation agenda.”

Melker Jernberg, President of Volvo CE, adds: “After six months as acting Head of Operations I am delighted that Kamel has agreed to join the Executive Management Team as a permanent member. He has wide experience both inside and outside the Volvo Group and will play an important role in taking our operations organization to the next level at this time of transformation and change in our business.”"
By Press information,3/15/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-highlights-complete-solutions-for-a-changing-industry-at-conexpo/,VOLVO CONSTRUCTION EQUIPMENT HIGHLIGHTS COMPLETE SOLUTIONS FOR A CHANGING INDUSTRY WITH IMMERSIVE EXPERIENCE AT CONEXPO-CON/AGG,Volvo Construction Equipment (Volvo CE) showcased the present and future of the construction industry at CONEXPO-CON/AGG with machines and services that offer customers solutions to enhance their productivity and uptime while also preparing them for an evolving business environment.,"Volvo CE presented an immersive platform of strength and innovation alongside Volvo Penta, Volvo Trucks and Volvo Financial Services. Several products were featured that have benefits beyond jobsites as Volvo CE continues to lead the industry toward a more sustainable future. They included zero-emission electric machines, charging solutions, an articulated hauler made using fossil-free steel, technology that can improve operator efficiency, jobsite safety and reduce fuel consumption, and much more.
“Change can create challenges, but it also creates opportunities,” said Melker Jernberg, President of Volvo CE. “The transition the world is undergoing has made clear the need for more sustainable solutions and strengthened our commitment to leading this transformation together with our customers and other partners.”
CHANGE STARTS HERE
The Volvo CE show theme was “Change Starts Here. Be Ready for It.” and the company’s 55,000-square-foot booth provided attendees a place not just to see products but also to interact with Volvo experts and each other to discuss the changing industry and how they can be ready to take on new opportunities.
Especially popular were the two operating areas where attendees could test-drive the company’s compact electric wheel loaders and excavators.
Volvo CE also displayed its EC230 Electric excavator for the first time in North America and announced that customer pilots were starting soon in the U.S., including with Waste Management. The 22-ton battery-electric excavator is a step up in an industry where electric vehicles thus far have mostly been compact models.
Another activity hub was the company’s Solutions Hall: a two-story building that featured such services and technology as machine control systems, advanced telematics, financial solutions and jobsite connectivity tools that can take organizations to another level.
“We really want to emphasize that a great machine is not enough in today’s construction industry,” said Stephen Roy, President, Region North America at Volvo CE. “It’s by pairing the right machine with the right services that customers get a comprehensive solution.”
Announcements at the show included both machines and services:
Unveiling the EC500 excavator: the first in the company’s newest excavator series
Opening reservations for the DD25 Electric asphalt compactor
Adding Compact Assist Soil to the Volvo CE Intelligent Compaction system
Launching Connected Load Out: a digital solution that simplifies the loadout process for Volvo excavators and wheel loaders
Introducing a remote-control device to operate Volvo excavators from outside of the cab
Helping customers see the bigger picture with the launch of the Connected Map site solution
Launching Task Manager in North America to keep projects on track
Unveiling a new portfolio of Volvo Service Contracts, and
Handing over the keys of a Volvo articulated hauler made using fossil-free steel to CRH, an international manufacturer and supplier of construction materials.
Individual press releases on these announcements can be found in the Volvo CE online press kit at volvoce.com/conexpo2023presskit. 
IN-PERSON AND ONLINE ACTIVITIES
With Las Vegas being an entertainment capital, Volvo CE also made sure there was plenty of fun in its booth. The electric machine operating arenas included contests for people to test their skills. TV and social media stars including the Gold Rush cast met with fans. Also in the booth were the CE Dealer Team car and drivers from the all-electric FIA World Rallycross Championship, for which Volvo CE is the Official Construction Equipment Supplier and Track Building Supplier.
Volvo CE also streamed a four-day virtual show from Las Vegas, bringing its booth to people who couldn’t make it to CONEXPO and giving those who attended in person an opportunity to see additional content. Virtual sessions are available to watch on demand at virtual-events.volvoce.com/en-US/brand-events/volvo-at-conexpo-live."
By Press information,3/15/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-helps-customers-see-bigger-picture-with-connected-map-in-north-america/,VOLVO CONSTRUCTION EQUIPMENT HELPS CUSTOMERS SEE BIGGER PICTURE WITH CONNECTED MAP IN NORTH AMERICA,"Volvo Construction Equipment (Volvo CE) at CONEXPO-CON/AGG launched their Connected Map solution for North American customers. The positioning service provides a visualized site overview for all machines — also non-Volvo machines — and vehicles on a site, accessible by personnel in the machines (via Volvo Co-Pilot or Android/iOS device) and in the office (via the Office Portal web platform).","Azadeh Fazl Mashhadi, Service Offer owner site solutions at Volvo CE explained: “With Connected Map, users benefit from complete jobsite visibility. It gives them a visual overview in real time of the position of every machine, every vehicle and every visitor on a site connected to the app, helping to make their operation more efficient and more productive.
“The site management also has total jobsite visibility via the Office Portal, providing at their fingertips all the information needed to optimize traffic conditions for maximum productivity. What’s more, increasing the efficiency of transport operations can also help to cut travel times, minimize material mixing, lower fuel consumption and reduce emissions.”
HOW IT WORKS
Connected Map works by extracting the positioning data from machine telematics or Android/iOS devices with SIM Cards and uploads it to a cloud-based Volvo platform. Whether a Volvo machine, non-Volvo machine, vehicle or temporary site visitor, Connected Map will visualize the position of any unit on site which has the App installed — either in the Volvo Co-Pilot or in an Android/iOS device.
For non-Volvo machines which are regularly on site, Volvo CE recommends fitting the machine with a Generic/non-Volvo Co-Pilot with Map App. This can be purchased as an aftermarket option through the Volvo dealer or alternatively, non-Volvo machine operators can gain access in the Site Map app via any Android/iOS device with a SIM card. Temporary site visitors can also access the app in the same way, enabling easy site familiarization.
Connected Map will visualize a host of typical jobsite features and landmarks, including roads to assist operators in navigating around the site, load zones, dump zones, speed zones as well as restricted zones. Points of interest such as offices, workshops and fuel stations can also be visualized, especially helpful for new or temporary operators. Single lane (narrow road) sections can be defined, notifying the operator if another machine is approaching within a single lane section, helping to avoid traffic congestion.
FAR-REACHING BENEFITS
For Site Managers, the Office Portal makes it easier to manage larger sites and even creates the possibility to manage multiple sites simultaneously. Not only does Office Portal provide a visual overview of all machines, operators, and temporary visitors on site, it also allows the Site Manager to react to the prevailing site conditions. The Site Manager can introduce measures such as one-way traffic or restricted zones and communicate these changes to all users in an instant helping to improve awareness, reduce accidents and increase productivity.
Connected Map users can also stay in the know when it comes to the whereabouts of their machines, thanks to the search functionality within Connected Map, which will look-up and find users or machines in real-time, with the last machine position visible for 30 days.
Away from the office, Connected Map makes it easier for the operator to become more familiar with the site and know where everyone is – including visitors – helping to facilitate a more straightforward, safer, and less stressful operation.
The Site Map application is available for free from the App Store and Google Play. To get started with Connected Map and the Office Portal, customers should contact their Volvo dealer. Find out more at https://www.volvoce.com/united-states/en-us/services/volvo-services/productivity-services/connected-map/."
By Press information,3/15/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-delivers-north-americas-first-machine-made-using-fossil-free-steel/,VOLVO CE DELIVERS NORTH AMERICA’S FIRST MACHINE MADE USING FOSSIL-FREE STEEL,"Today at CONEXPO 2023 in Las Vegas, Volvo Construction Equipment (Volvo CE) handed over the keys to the first construction machine made from fossil-free steel for a North American customer – and it’s the second delivery in the world.","The machine, an A30G articulated hauler, has been purchased by Pennsy Supply Inc, a CRH company and long-standing Volvo CE customer, for use at its East Petersburg Quarry in Pennsylvania, USA.
The hauler was produced by Volvo CE using fossil-free steel supplied by steelmaker SSAB.
The handover today to Pennsy Supply is another milestone in Volvo CE’s path towards net zero in our value chain by 2040.
Volvo CE celebrated another important milestone in its ambition to drive transformation in our industry towards global climate goals with the handover today to its second customer of a machine made using fossil-free steel.
The A30G articulated hauler was handed over by President of Volvo CE, Melker Jernberg, to Scott Parson, President Americas Materials at CRH – a long-standing customer of Volvo CE – at Volvo Group’s CONEXPO press conference.
Melker Jernberg says: “At Volvo CE, we believe partnership is the new leadership. The handover today to Pennsy Supply demonstrates what can be achieved when we work together with like-minded and forward-thinking partners who share our vision and commitment to sustainability and want to lead our industry to change.”
Swedish steel manufacturer SSAB produced the fossil-free steel using a completely new technology with fossil-free electricity and hydrogen. The result is a significantly lower climate impact in SSAB’s production process – an at least 90% reduction in CO2 emissions - and an important step towards a net-zero emissions value chain.
Scott Parson, President Americas Materials at CRH, comments: “No business can solve the complex challenges such as climate change alone. We need to actively partner with key players throughout our value chain to innovate and create new business solutions. Volvo and SSAB have converted emerging technology in the steel industry into a working model of what the future will look like. We are delighted to be the first recipient of this technology in the US.”
Big actors in the construction industry have a key role to play in leading the industry’s efforts to lower its carbon footprint. Pennsy Supply Inc is part of the CRH group of companies which is the leading provider of building materials solutions that build, connect and improve our world - with over 3,000 locations in 29 countries. Like Volvo CE, the CRH group has Science-Based Target commitments. It aims to be a net-zero business by 2050 and is targeting a 30% reduction in absolute group-wide emissions by 2030. Pennsy Supply Inc, A CRH Company will use the fossil-free A30G at its East Petersburg Quarry in Pennsylvania.
8% OF GLOBAL CO2 EMISSIONS COME FROM STEEL PRODUCTION
Steel is a major component of Volvo CE machines. However, for every ton of steel produced, around 1.9 tons of CO2 is emitted. To achieve its Science-Based Targets and reach net-zero by 2040, Volvo CE recognizes the importance of reducing its carbon footprint across its entire value chain, alongside the electrification of its machines.
VOLVO GROUP’S JOURNEY TOWARDS FOSSIL-FREE STEEL
In October 2021, Volvo Group unveiled the world’s first vehicle made from fossil-free steel. Then in May 2022, Volvo Trucks started to introduce fossil-free steel into parts of its range. In June 2022, Volvo CE became the first manufacturer in the world to deliver a construction machine made with fossil-free steel to a customer. The company will continue to introduce production using fossil-free steel into its machines and components, dependent on aspects such as steel availability."
By Press information,3/15/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-opens-pre-order-tool-in-north-america-for-new-dd25-electric/,VOLVO CONSTRUCTION EQUIPMENT OPENS PRE-ORDER TOOL IN NORTH AMERICA FOR NEW DD25 ELECTRIC ASPHALT COMPACTOR,Volvo Construction Equipment (Volvo CE) announced at CONEXPO-CON/AGG that North American customers can now reserve the new DD25 Electric asphalt compactor online. Deliveries are expected to begin in the first quarter of 2024.,"The pre-order system for the electric machines allows interested buyers to enjoy the convenience of an e-commerce tool while still getting customer support from their local Volvo CE dealer.
The Volvo DD25 Electric made its debut at the Las Vegas trade show and was a popular product among attendees. Roadbuilders were interested in how the machine could benefit their fleets, as were officials from government departments.
“It’s exciting to finally get to show off this new development in our electrification efforts,” said Justin Zupanc, Head of Asphalt Compaction Development. “We’re proud to offer our customers tangible solutions for reducing their carbon footprint, and we’re thrilled to launch our first zero-emission machine for the road segment.”
The addition of the DD25 Electric asphalt compactor brings the Volvo CE electric lineup to six commercially available machines, with a mid-size excavator and mid-size wheel loader in the works.
LOOKING UNDER THE HOOD
The electric driveline of the DD25 Electric asphalt compactor is based on the same proven architecture and components found on the Volvo CE ECR25 Electric compact excavator and L25 Electric compact wheel loader, which have been successful in a variety of different applications and markets over the past few years.
Its zero-emission operation makes the DD25 Electric asphalt compactor ideal for sensitive or urban environments with strict emission regulations and for organizations that are looking to meet their own sustainability goals. Zero tailpipe emissions also mean a cleaner and more enjoyable work environment for operators, site teams and passers-by. If used alongside other electric powered equipment, the DD25 Electric offers the possibility of a zero-emission jobsite.
The DD25 Electric asphalt compactor is expected to operate for a full shift on a single charge (depending upon the type of job and intensity of the work cycle) using the same charging solutions as its forerunners, which allows customers to choose the right charger for their operation. The machine comes with an integrated on-board charger that enables charging from zero to 100% in as little as three hours, depending on AC power level. With an optional off-board DC fast charger, this can be achieved in just over an hour.
The double-drum DD25 Electric asphalt compactor offers 24 kW of available power, which is 30% more than the conventional Volvo DD25B compactor. The result is a more responsive machine in terms of speed and vibrations. It also performs better on grade thanks to the size of its components and better at high elevations when compared to a diesel machine, which loses power as you increase altitude.
Pre-orders opened in North America first and will expand to other regions in the future. Those who would like to reserve a DD25 Electric asphalt compactor may visit volvoce.com/united-states/en-us/products/electric-machines/reservation/."
By Press information,3/15/2023,https://www.volvoce.com/global/en/news-and-events/press-releases/2023/volvo-ce-launches-three-compact-assist-packages-for-volvo-soil-compactors/,VOLVO CE LAUNCHES THREE COMPACT ASSIST PACKAGES FOR VOLVO SOIL COMPACTORS,Two entry-level packages for Volvo Construction Equipment’s (Volvo CE) intelligent compaction system Compact Assist have now been introduced to best match the varied demands of its customers on its line of Volvo Soil Compactors.,"The packages are designed for customers to choose their preferred levels of functionality
Designed for customers who need some of the existing system’s functionality – but not all of them – the new ‘Lite’ and ‘Start’ packages unlock varying degrees of access to the core functions of Pass Mapping and Compaction Measurement Value (CMV) Mapping, all powered by the 10” Volvo Co-Pilot touchscreen. With these tailored solutions, customers can now more easily unlock the benefits of intelligent compaction, receiving only the information that is most useful to them and in turn achieving optimum compaction results.
PACKAGES TO FIT YOUR NEEDS
Customers can now choose from three packages from Volvo CE’s suite of Compact Assist tools – whether they are looking for simple compaction measurements right through to complete tracking of both the coverage and compaction of the material – ensuring the most cost-effective and relevant solution, specific to their needs.
1. Lite – The first of the two new bundles, this is the perfect option for those taking the first steps towards improving the quality of their compaction work. It integrates a simple compaction gauge and rear-view camera within the Volvo Co-Pilot monitor, allowing the operator to track the progress of current and recently completed compaction with full visibility behind the machine.
The Lite package is perfect for those taking the first steps in Compact Assist
2. Start – The other latest option combines all the functionality of the Lite package, plus the ability to see completed work across the entire jobsite. With increased functionality, it uses GPS data to provide the operator with a clear map of passes and CMV mapping.
The Start package offers increased functionality
3. Compact Assist – Offering the fullest functionality of the existing Compact Assist solution, this option provides everything that the Start package boasts, as well as high accuracy location and data recording, enabling the creation of reports on the finished job and access to extensive detail on the performance of the roller.
Compact Assist enables the creation of reports on the finished job
INTELLIGENT COMPACTION MADE SIMPLE
Since its launch, Volvo CE’s Compact Assist has been the industry standard when it comes to intelligent compaction tools. Available on the company’s SD75B and SD115B soil compactors in North America, Europe and other selected International markets – and the larger SD135B and SD160B soil compactors available only in Europe and other selected international markets – it facilitates a more successful compaction process, helping operators understand where the ground has been adequately compacted and where more attention is needed – information that is especially useful when working on large jobsites.
One of its essential features is Pass Mapping, where customers can visualize the whole job and keep track of where they have compacted, making it easy to see where work is still required and in turn saving time and money.
Another key tool is CMV mapping, whereby customers are given a complete image of the load bearing strength of the jobsite allowing them to identify a soil mixture that is too wet, for example, or any buried infrastructure. This helps operators to identify areas which require additional compaction or further investigation.
The packages have been created for Volvo Soil Compactors
THE HIGHEST STANDARD OF COMPACTION
With these new more-tailored packages, customers can better integrate the Compact Assist solution into the day-to-day work of their Volvo Soil Compactors, all the while assured of the same great compaction results.
While these packages have been created for Volvo Soil Compactors, Compact Assist is also available for Volvo Asphalt Compactors, including Pass Mapping, Temperature Mapping, as well as Density Mapping and Stiffness (CMV) Mapping tools. 
These packages are available in select North American, European and international markets. For further details and specifications, please visit our Compact Assist page."
