category,sub_title,Engine Power,Bucket capacity,Tipping Load,Operating Weight
Wheel Loaders,WA200-8,"95,2/128 kW/HP","1,9-2 m³","8,5 t.","12-12,5 t."
Wheel Loaders,WA270-8,115/153 kW/HP,"2,2-2,3 m³","10,18 t.","12,975-13,525 t."
Wheel Loaders,WA320-8,127/170 kW/HP,"2,6-2,8 m³","11,74 t.","15,7-16,56 t."
Wheel Loaders,WA380-8,143/192 kW/HP,"3,1-6,5 m³","15,5 t.","18,5-20 t."
Wheel Loaders,WA470-8,204/273 kW/HP,"4,1-6 m³","18,9 t.","24,17-25,67 t."
Wheel Loaders,WA475-10,217/291 kW/HP,"4,2-4,9 m³","18,8 t.","25,11-26,85 t."
Wheel Loaders,WA480-8,224/300 kW/HP,"4,8-5,3 m³","20,165 t.","26,315-26,465 t."
Wheel Loaders,WA500-8,266/357 kW/HP,"4,5-6,3 m³","26,775 t.","34,875-36,13 t."
Wheel Loaders,WA500-8 Stone Handler ,266/357 kW/HP,,26 t.,"38,145 t."
Wheel Loaders,WA600-8,396/530 kW/HP,"6,4-7,8 m³","36,1 t.","54,17-56,74 t."
Wheel Loaders,WA600-8 Stone Handler,396/530 kW/HP,,"40,9 t.","60,8 t."
Wheel Loaders,WA800-8,638/856 kW/HP,"11,5 m³","63,42 t.","115,53 t."
Wheel Loaders,WA900-8,672/901 kW/HP,"11,5-14,5 m³","63,61 t.","116,4 t."
Wheel Loaders,WA1200-6,1411/1892 kW/HP,18-35 m³,"121,9 t.","220,55 t."
