Date,Title,Content
30 May 2023,World’s top ten construction OEMs revealed,"The latest Yellow Table, International Construction’s annual ranking of the world’s top 50 construction equipment manufacturers by sales figures, has revealed that sales for 2022 were US$230.6 billion, one of the highest figures ever recorded in the listing.
A large reason for this growth is the performance of manufacturers based in the US. OEMs based in the US accounted for over 26% of the total revenue of the Yellow Table, up from 21% in the last listing.
You can view the full Yellow Table in the latest issue of International Construction magazine with in-depth analysis.
The top ten biggest construction equipment manufacturers in the world for 2022 were:
10. JCB, UK
JCB enters the top ten for the first time in several years, with strong sales in the OEMs main market of India boosting its bottom line. The OEM is investing heavily into hydrogen technology.
9. Sandvik, Sweden
Another rise up the table for Sandvik – the company was at number ten last year. The company has been making numerous acquisitions, with the OEM making ten acquisitions in 2022, helping to explain their increased ranking.
8. Hitachi, Japan
Hitachi had construction equipment sales of US$9.2 billion, a steady increase from its final results last year. In 2022 the brand saw the ending of its joint venture with John Deere, with Hitachi Chairman Sonny Ishii saying at ConExpo that, “The Americas market is the single most important market, or priority, for Hitachi Construction Machinery.”
7. Liebherr, Germany
Liebherr saw good growth in 2022. In its own report it said that its construction and mining segments – earthmoving, material handling technology, deep foundation machines, mobile and crawler cranes, tower cranes, concrete technology and mining equipment – had an average increase in turnover of 6.9%. Liebherr says it is taking a technology-neutral approach to its research, which includes the increased use of hydrogenated vegetable oils (HVO), for potential use in construction equipment.
6.Volvo Construction Equipment
When adjusted for currency changes, Volvo Construction Equipment (Volvo CE) had sales of US$9.9 billion keeping it in sixth place. The company is one of the leading OEMs when it comes to electric construction equipment, with one of the largest commercially available ranges including its new 23 ton battery electric excavator.
5. Sany, China
China-based Sany drop down one place in the table, from number four to number five. The Chinese construction market faced challenges in 2022 following on from two strong years so a general drop in China-based OEMs on the table was expected.
4. John Deere, US
US-based John Deere increased its ranking on the Yellow Table by one place, as it did in the previous Table. The company’s purchase of the Wirtgen Group has been a success and provided the company with access to new markets.
3. XCMG, China
Despite seeing sales fall, XCMG remains the world’s third largest OEM. As is the case with all major Chinese OEMs, the company is actively looking to increase its share of the international market and its most recent results showed record overseas sales. One of their leading executives believes that there is more growth to come in these markets.
2. Komatsu, Japan
Komatsu remains at number two on the list and has extended the gap between it and the rest of the table with sales that, when adjusted for currency, were similar to the last Yellow Table. The OEM recently announced the development of a medium-sized hydraulic excavator concept, powered by a hydrogen fuel cell. The manufacturer said the machine’s development is in line with its aim to achieve carbon neutrality in construction equipment.
1. Caterpillar, US
Caterpillar retains its traditional position as the world’s biggest construction manufacturer with sales with sales of US$37.5 billion – approximately 16% of the total of the whole table. A senior executive at the OEM recently told International Construction about the OEMs plans regarding sustainability and new technology.
View previous Yellow Table’s to see who were the world’s top ten equipment manufacturers in previous years at the International Construction issue archive."
25 May 2023,Peri uses ‘innovative approach’ on tunnelling project,"On the A26 tunnelling project in Linz, Austria, the first fully hydraulic tunnel formwork carriage with a caterpillar drive in Austria was used.
The project aims to ease congestion on the country’s urban transport network. Tunnel construction work to the north and south of the Danube for the access and exit routes for the new Danube bridge has been in progress since May 2020.
A large section of the tunnel runs underground so that the noise and pollution in the urban area are reduced to an even greater extent.
Five different tunnel cross-sections, profile transitions, tight radii of between 50m and 750m in the bends, and varying gradients: these were just some of the challenges that had to be overcome when constructing the 1,600-m-long access tunnels for the new suspension bridge.
To help with the project Peri engineers developed Austria’s first customised and fully hydraulic special-purpose steel formwork carriage with caterpillar drive and a weight of 250t. This alone was enough to produce the different cross-sections in a total of 170 concreting sections.
Given the fact that the very tight curve radii made it difficult to transport the formwork carriage, an innovative caterpillar system was used to move it.
In addition, the formwork carriage had dimensions of 8.07m in height and 14.50m in length as well as 10.70m in width when ready to move and 11.20m in width when ready to pour concrete.
Peri assembled the formwork carriage in front of the tunnel entrance and, a short time later, the first concreting section was successfully completed, meaning that the formwork could be stripped the very next day and the formwork carriage moved forward to the next concreting section in an efficient and time-saving manner."
24 May 2023,"Interview: Caterpillar executive on electric power, automation and new equipment","ConExpo is North America’s largest construction trade show and Caterpillar, the world’s largest construction OEM, is headquartered in North America – I was expecting the Caterpillar stand at the show to be busy but, even so, the number of people was surprising. It was like being back on the London underground during rush hour, rubbing shoulder to shoulder with people.
I met Jason Conklin, senior vice president of Caterpillar with responsibility for Global Construction and Infrastructure, at the company’s stand, thankfully in a private room upstairs, where he was relaxed and accommodating, even offering to skip his lunch to give us more time to talk.
Conklin splits his time between his team, dealers and customers, and says that in his role he has travelled to more than 80 countries and all 50 States in the US. He says that the lack of skilled workers is, “the number one thing we hear from every single customer we talk to all around the world.”
The crowds at the Caterpillar stand are a reminder of the position that the company holds in the industry. They have consistently topped International Construction’s Yellow Table, the annual ranking of the world’s biggest OEMs by sales. When Caterpillar talks the industry takes notice, which is one of the reasons that the OEMs stance on alternative power – arguably the hot topic right now – is of such interest.
On this issue Conklin says, “We have to work all angles; we have to be there for the lithium-ion battery, we want to do research on hydrogen combustion, we’re looking into hydrogen fuel cells, but maybe most importantly, we’re making our current diesel machines more fuel efficient and more sustainable for the future.”
Regarding battery powered equipment, Caterpillar announced last year four electric prototypes – the 301.9 mini excavator, 906 compact wheeled loader, 320 medium excavator and a 950 GC medium wheeled loader. All run with lithium-ion batteries. Regarding electric power specifically, Conklin says that Caterpillar, “definitely see government requirements coming to potentially incentivize its adoption.”
How to make construction more sustainable
As Conklin says, Caterpillar – and indeed all major OEMs – need to “work all angles” when it comes to alternative power sources as no OEM or engine manufacturer can confidently say exactly what the future will look like.
One thing that Conklin is keen to point out though is how much cleaner and sustainable diesel equipment is now, and how that journey is ongoing. The company is committed to ensuring that every new product it introduces is more sustainable than the machine it replaces.
“If we’re able in some cases to improve our fuel efficiency, reduce our fuel burn by 35% versus machines ten years ago, that means less carbon,” says Conklin. “Our view is that diesel equipment also needs to be more and more sustainable. We’re proud of what we’ve done to increase our fuel efficiency.”
Caterpillar has gone public with its sustainability goals – the company says that it is committed to a 30% reduction by 2030 in terms of absolute greenhouse gas (GHG) emissions that it produces in operations. Conklin calls this a “pretty bold goal” but says that, since 2006, Caterpillar has already reduced GHG emissions in its operations by around 50%.
One of the ways that GHG can be reduced is through increased productivity and efficiency and a key way to achieve this is through technology. Caterpillar has introduced a new version of VisionLink that brings together multiple legacy solutions that were built on different platforms with fragmented interfaces. The OEM says that it has consolidated those capabilities into a single solution that is scalable for customers of all sizes and available in both a desktop and mobile experience.
VisionLink allows users to access their data, manage their fleets, schedule tasks and provides key metrics, location of assets, fuel level, idle time and more. It also, crucially, allows its users to manage equipment and attachments, regardless of their brand.
“It’s full fleet. We started out originally thinking that VisionLink would be more of a Caterpillar application for Cat assets,” reveals Conklin. “But the more we talked to customers, they said ‘wait a second, I’ve got multiple trucks, attachments, I’ve got competitive iron.’ We want to make sure that VisionLink can meet all those needs.”
Platforms such as VisionLink will certainly play a key role in construction’s sustainability journey, as will automation. Construction is relatively early on its path to autonomy and is certainly behind mining.
“We’ve been on a long journey with mining – in fact, our machines have moved over 5.5 billion metric tons autonomously. And we’ve done that across 25 mine sites. What we’re most proud of – of course we’re helping improve productivity – is we’ve done it without injury from autonomy,” says Conklin. “That tells you about the power of autonomy; it helps your safety, it helps your productivity.”
Autonomy in the construction industry
Caterpillar is closely collaborating with Luck Stone, the US’s largest family-owned and operated producer of crushed stone, sand and gravel, to deploy Caterpillar’s autonomous solution to its Bull Run plant in Virginia, US. This will be Caterpillar’s first autonomous deployment in the aggregates industry and Conklin says that the partnership will deepen their understanding of autonomy operations for sites with fewer mobile assets and inform scaling the technology into construction.
“This project allows us to accelerate our learning and brings what we’ve learned from mining down into the quarries. From there, we see applications such as paving being a logical next step, automating machines like soil compactors, asphalt compactors.”
Conklin says that there is a “long road to autonomy” but that the potential is there. “We start by making some features in our machines autonomous. And then we go to a Cat Command remote control solution where the operator’s actually off the equipment but running it.
“Then there’s full autonomy, which some customers are ready for, and some aren’t, but we certainly have the experience to leverage it when the industry’s ready.”"
18 May 2023,Digging with a twist: What are the advantages of a tiltrotator?,"Popular in Scandinavia, and growing in other areas of Europe, the tiltrotator is deemed to significantly increase machine efficiency.
The tiltrotator can look like a confusing bit of kit but it is possible to think of it as a wrist that directly connects to the excavator’s arm or beneath the excavator’s quick hitch. The tiltrotator is then connected to the excavator’s hydraulics and electrical system. Depending on the excavator’s extra hydraulics, control is adapted to suit different types of control system.
In the early 1980s, the Norgrens family introduced the Tiltrotator to the Swedish market under their family-owned and operated company Noreco, and since then it has become a standard in the Scandinavian region. The concept has also recently gained popularity in many other countries across the globe, including the Netherlands, Germany, the United Kingdom, Japan, Canada, and the United States.
Sven-Roger Ekström, senior product manager at Rototilt, understands the capabilities of tiltrotators better than most and believes that they have several benefits that could change the way we work on construction sites.
Upon asking Ekström why everyone should have a tiltrotator, he reels off a list of what he believes are the key advantages. “Your excavator becomes an efficient tool carrier in addition to working faster and more flexibly with fewer machine movements.”
Ekström adds that such qualities allow companies to take on new types of jobs and will require less manual labour around the machine.
Unfortunately, the skills shortage is as much a concern as it was in 2022 and including a new attachment into the field can cause apprehension for potential buyers, who may be uncertain about imposing such a complex attachment on operators.
Ekström, however, says it takes only a short time to become proficient with a tiltrotator. “If you are a skilled excavator operator you will need 1-2 weeks to perform really well. After that first jumpstart, you will start to see new opportunities such as how to solve working tasks in a new way and become even more efficient.”
Stefan Stockhaus, CEO of Steelwrist, believes that tiltrotators are also the answer to increasing safety in potentially dangerous working conditions. By using tiltrotators, jobs traditionally done outside the cabin can be moved into the cabin, removing ground workers from risk-prone roles. “It’s not all about efficiency,” he says. “It’s also about safety and becomes an alternative to a standard factor.”
Increasing efficiency is undoubtedly a huge advantage on the modern-day construction site and Ekström says tiltrotators can increase efficiency by 25% to 30% depending on the type of job. “On some jobs where you, with the combination excavator plus tiltrotator, can do the same job as two or three standard excavators you of course calculate with even higher figures,” he adds.
Steelwrist’s Stockhaus agrees with Rototilt’s Ekström regarding his sentiments on the tiltrotators ability to increase efficiency, but he adds that enjoyment is also a benefit. “In our case, 96% of all the experienced users say that the job is more fun. And if the job is more fun, it’s easier to attract good employees. Those are two really strong cases. As I see it anyway – efficiency, profitability, but also more fun.”
Mature markets, such as Scandinavia, have embraced the adoption of tiltrotators. Almost 90% of excavators in the region have the attachment, which is said to be crucial to winning projects as well as meeting specific sustainability goals.
While Scandinavia has fully adopted this form of attachment, the rest of Europe is somewhat slower. “It always take time to break new ground and to change old habits,” says Ekström.
“In Scandinavia, we have a long practice of getting more efficient because of expensive, and the lack of manual labour. We also have a market with many small contractors that often see the owner in the cab working with the equipment; therefore, he can quickly see the benefit of working in a new way.”
Stockhaus believes the popularity surrounding tiltrotators in Scandinavia comes from the region’s pressure on increased productivity – it is also the key to getting jobs.
Elsewhere in Europe, Ekström says that big companies with a large rental market often take longer to see the benefits. Other obstacles, he says, can be that as long as the contractors are satisfied with buying two or three machines instead of one machine with a tiltrotator, the dealers will not push the product until the customer asks for it.
Autumn 2022 saw Rototilt launch its Rototilt Control product concept featuring tiltrotators, joysticks, a new control system and a remote support app. The product has become well established in the market and companies are starting to realise their potential – Rototilt are now expanding the number of tiltrotators in their RC series.
The company confirmed that Rototilt’s R4 and R8 tiltrotators will gain counterparts in the RC series launched at Bauma last year. This means that Rototilt’s new RC System control system and the new RC Joysticks will be available to machines weighing between 10 and 43 tonnes.
The R4 tiltrotator has historically been one of Rototilt’s most popular products, according to Ekström, who has high expectations ahead of the sales launch.
He says, “We started in the mid-range but are now expanding the concept to encompass both bigger and small machines. Today we are delighted to offer increased energy efficiency and an improved driving experience for a wider range of machines and users.”
The new tiltrotator series, due to launch in February 2023, features pressure-compensated hydraulics and is said to deliver greater energy efficiency than its predecessors, in addition to enabling more controlled excavation movements.
As part of a joint initiative, Steelwrist and Rototilt have come together to set an industry standard for fully automated quick couplers under the Open-S Alliance. The non-profit organisation sets out to develop and promote the Open-S standard, with the ultimate aim of achieving global interchangeability between quick couplers, tiltrotators and work tools for excavators.
The alliance’s standardisation work has been ongoing for the last two years with the purpose to increase safety and efficiency for excavator owners, operators and ground personnel.
The partnership has started to create a uniform manufacturing standard for dimensions and tolerances as well as making it cost efficient to retrofit adaptor brackets to used and new buckets and work tools.
In 2021, Volvo Construction Equipment became the first excavator specialist to join the alliance in hopes to work with other industry partners on improving work tools for excavators. The demand for fully automatic quick couplers on excavators has continued to grow rapidly in general construction and it is said that all partners are seeing opportunities for growth in a variety of sectors.
Steelwrist and Rototilt are paving the way for the future of tiltrotators, in addition to the likes of Volvo Construction Equipment and Caterpillar. Scandinavia needs no convincing evidence of the advantages of tiltrotators and it seems the rest of Europe is taking a particular interest in increasing efficiency.
Last year, Caterpillar Work Tools Division announced new Tilt Rotate System (TRS) models for Cat 302.7 through 310 Next Generation Mini Excavators.
The new TRS4 and TRS8 S45 plus updated TRS6 models allow attached work tools to rotate 360 degrees and tilt 40 degrees side-to-side. This enables the machine to reach more work areas from a single position, while manoeuvring tools over, under, and around obstructions when excavating, grading ditches, sorting recycled materials, or placing pipe.
The new TRS models are said to multiply the mini excavator’s versatility and are available in various configurations to match the application.
The TRS6 and TRS8 feature a standard TRSAux2 auxiliary port at the bottom to connect a variety for different hydraulic tools whilst the compact design of the TRS4, TRS6 and TRS8 allows the mini excavator to maintain high digging forces.
TRS4 models are designed for efficient use by the 302.7, 303, 303.5 and 304 Mini Excavators, while the TRS6 models are compatible with the 305.5CR and 306 CR models. The TRS8 models are designed for use with the 307.5, 308, 308.5, 309 and 310.
Engcon is seeing “stable profitability” after reporting record-high net sales for the fourth quarter of 2022.
While the last three months of 2022 saw the company’s order intake decline by 29% SEK553 million (€49.4 million), its net sales increased to SEK541 million (€48.3 million).
This is up 46% on the SEK370 million (€33 million) the company brought in for the same period in 2021 - with operating profits also up 57% on the previous year to SEK 121 million (€10.8 million).
Overall, this resulted in a fourth quarter profit rise of 20%, to SEK 90 million ($8.6 million), up from SEK75 million (€6.8 million) in the fourth quarter of 2021.
Engcon’s fourth quarter results meant that for the whole of 2022 the company saw an order intake rise of 1%, up from SEK1.96 billion (€131.9 million) in 2021 to SEK1.97 billion (€171.4 million).
2022 net sales also increased by 30%, from SEK1.48 billion (€131.9 million) in 2021 to SEK1.93 billion ($186 million), with profits last year amounting to SEK325 million (€29.6 million) - a rise of 21%.
Krister Blomgren, Engcon’s CEO, said, “Combined with increased economic uncertainty, inflation and interest rates, this led to an expected downturn in Nordic and European markets in the fourth quarter compared with exceptional comparative figures. Despite this, the order intake was at a high level when seen from a long-term perspective.
“It is worth noting that there was a break in the trend in 2022, with growth markets recording higher order intake than the Nordic region for the first time.”
Looking to the future, Engcon plans to continue investing in its third generation tiltrotator system and expand its sales network.
"
09 May 2023,Triangle Tyre increases European focus,"The China-based manufacturer’s current range of radial tyres covers up to the 1600mm rim, which is the largest size in the world for the off-the-road (OTR) segment, suitable for rigid dump trucks operating in the mining sector, with load capacities of up to 360 tonnes.
New products from Triangle include the TL559S+ L5 *** L5 in the sizes 20.5R25 and 23.5R25, designed for wheeled loaders in both surface and underground mines.
The company said the new tyres allow for bigger loads than the previous 2-star load index version and offer higher resistance to impact, more wear, and maximum load capacity.
In the rigid dump truck segment, Triangle has introduced the TB577A Super *** E4, with increased tread depth, designed for medium dump trucks with 55-60 tonnes load capacity.
The crane tyre segment has seen the introduction of the new 445/95R25 TB576 174F E2, developed with a lighter construction to improve the efficiency of use on mobile cranes and achieve better fuel efficiency.
In the articulated dump trucks segment, Triangle has also enlarged the range of its TB598S E4 tyres with the size 875/65R29.
Luca Mai, Triangle’s OTR director for Europe, said the company’s continuous development of relationships with leading earthmoving equipment manufacturers had helped it achieve positive results in terms of products and performance, including numerous Caterpillar Platinum Awards.
He added that feedback from customers had led the company to expand its range, saying it was now “one of the most complete and performing at the highest level in the earthmoving tyre market”."
03 May 2023,Digital construction site steals show on Samoter’s first day,"




Machine control, remote control, autonomy and collision avoidance technology worked together with machines from the likes of Develon, Kobelco and Komatsu, to give the audience a vision of what tomorrow’s construction sites may look like.
Topcon and Leica positioning technology was on show, as well as Trimble’s augmented reality solution, SiteVision.
Caterpillar’s Cat Command System was utilised to demonstrate applications as diverse as the remote control loading of a hauler and the remote removal of an explosive device discovered during excavation.
The show demonstrated the advances that have been made in the area of machine control, as a Komatsu dozer made short work of grading, with the operator a passive observer.
Later, a 23-tonne Develon excavator demonstrated the delicate operations that can now be undertaken using the latest tiltrotator attachments from Engcon and Steelwrist.
Construction’s significance
Earlier, the show, which is running in conjunction with the paving and road infrastructure equipment fair, Asphaltica, opened with with speeches from regional mayors and government ministers, who stressed construction’s importance to Italy, as a vital component of its economic recovery.
Italy’s minister of infrastructure and transport, Matteo Salvini, described the importance of infrastructure developments, mentioning the proposed bridge across the Strait of Messina, which, after many years of debate, is potentially now set to connect the island of Sicily with the mainland.
Samoter’s organisers said the show’s six halls and three outdoor areas will host 536 companies from 23 nations over the course of the week, who will vie for the attention of buyers from more than 100 countries.
Alongside equipment and solutions exhibits, Samoter will also host more than 80 market and technical conferences and workshops."
02 May 2023,7 things we learned from Caterpillar’s latest trading update,"

Last week saw Caterpillar unveil a strong performance for the first quarter of 2023, driven in large part by growth in North America.
Sales in its construction industries division increased by 10% to US$6.7 billion, while operating margin in the segment was 26.5%.
Here’s seven things we learned about Caterpillar’s performance, what it says about the wider construction industry, and where it could be heading:

Caterpillar reported better equipment availability thanks to improving supply chain conditions. But “pockets of challenge” still remain, particularly for large engines which could impact some of its larger machines.
In general, the supply chain improvements meant that Caterpillar was able to make stronger-than-expected shipments in North America, which is Caterpillar’s most constrained region as far as dealer inventory is concerned.
Caterpillar noted that there is now improved availability of its excavators. That has come about as a result not just of the lower pressure on supply chains but also because of a slowing of demand in China.
Caterpillar said it expected China’s above 10t excavator industry to remain below 2022 levels this year due to low construction activity, while its sales in China would be below the typical range of 5-10% of total Caterpillar sales in 2023.
The better availability of some types of machine in turn means that Caterpillar expects dealers to scale back their levels of inventory in the second half of the year, even though overall demand remains healthy.
The second half of 2022 saw dealers build their inventories to the tune of $1.4 billion. Talking to analysts, Caterpillar chairman and CEO Jim Umpleby said, “We are not planning for this trend to repeat [in the second half of 2023]. Instead, we expect to see dealers decrease inventories compared to the first quarter levels and end 2023 about flat relative to the end of 2022.”
Caterpillar’s overall adjusted operating profit margin for the period was 21.1% and hit 26.5% in the construction industries division. In a call with analysts, chief financial officer Andrew Bonfield explained that while Cat’s manufacturing costs did increase, they increased by less than the company anticipated.
Better-than-expected sales volumes meant factories could operate more efficiently, while freight costs were also lower. Meanwhile, the average price Caterpillar was able to charge for machines was higher than it had expected. These factors combined to boost the company’s profit margins.
But Bonfield said he did not expect the favourable effects of absorbing costs to last in the second half of the year, with margins in the remaining quarters of the year expected to be lower than the first quarter as the relationship between price and manufacturing costs normalized.
The US government has pledged to pump billions of dollars into infrastructure investments through measures such as the Bipartisan Infrastructure Law (BiL), which it is claimed involves up to $550 billion in new spending.
Umpleby confirmed that Caterpillar had started to see the positive impact of those infrastructure dollars in orders.
Speaking to analysts, he said, “The projects that don’t require a lot of permitting, things like resurfacing roads, have already started and we’re seeing the positive benefit of that.
“When customers believe there’s a pipeline of projects coming, they’re more likely typically to make that capital investment, to make a purchase of a new piece of equipment. It has started and we expect it to continue for some time.”
Caterpillar said it expected business activity in Europe, Middle East and Africa to increase in 2023 as compared to 2022. While that was down in large part to particularly strong construction demand in the Middle East, and while uncertain economic conditions remain, the company noted that European construction was “more resilient than we previously anticipated”.
When it came to mining equipment, Umpleby said he expected healthy demand, driven by the transition to new forms of energy. He noted that commodity prices remain above investment thresholds and said he expected production utilization levels to remain elevated.
He added, “We also expect the aging of the fleet and a lower level of parked trucks to support future demand for our equipment and services. We continue to believe the energy transition will support increased commodity demand, expanding our total addressable market and providing further opportunities for profitable growth.”
"
27 April 2023,North America drives Q1 rise for Caterpillar,"Caterpillar has announced first-quarter 2023 sales and revenues of US$6.7 billion for its construction industries section, an increase of US$631 million, or 10%, compared with US$6.115 billion in the first quarter of 2022.
The North America region drove a lot of this growth, with sales increasing by 33% from the first quarter of 2022 to US$3.6 billion.
Another region that saw growth was EAME (Europe, Middle East and Africa) albeit with a much smaller increase of 5%, taking sales in the region to US$1.3 billion.
Sales dropped in Asia Pacific by 21% to US$1.1 billion with Caterpillar putting this down to “lower sales volume and unfavorable currency impacts, primarily related to the Japanese yen and Chinese yuan.” Cat said that in addition to lower sales to end users, dealers inventories in the region increased less than in the same quarter in 2022.
Latin America also saw sales drop, by 4% to US$599 million.
Construction Industries’ profit was US$1.790 billion in the first quarter of 2023, an increase of US$733 million, or 69%, compared with US$1.057 billion in the first quarter of 2022.
“I’d like to thank our global team for their strong operational performance while serving healthy demand during the first quarter. We achieved double-digit top-line growth and record adjusted profit per share while generating strong ME&T free cash flow,” said Jim Umpleby, Chairman and CEO.
Caterpillar’s Resource Industries’ total sales (which includes mining equipment) were US$3.427 billion in the first quarter of 2023, an increase of $597 million, or 21%, compared with US$2.830 billion in the first quarter of 2022.
All regions reported a growth in sales for this segment: North America by 28%, Latin America was up 19%, EAMA by 1% and Asia Pacific saw a 31% increase.
The May-June issue of International Construction will include the Yellow Table, a ranking of the world’s biggest construction OEMs by sales. Previous editions of the Yellow Table can be viewed online."
21 April 2023,Simem celebrates 60 years of concrete plants,"
Like many other small and medium manufacturing companies in this area, Simem was founded by the intuition of a single entrepreneur, Piero Furlani, who started with the production of cement mixers with reversing drums.
In the 60 years since, the management of the company has been passed on to his two sons: Federico, now president, and Michele, managing director. Together they now manage an international enterprise which can be counted among the top players in the market for concrete plants worldwide.
Simem has supplied its plants to many key construction projects around the world, including the Panama Canal expansion, Hong Kong airport, the EuroTunnel beneath the English Channel, the Petronas Tower in Malaysia, the Olympic Stadium in Sydney and the Brenner Base Tunnel, currently under construction beneath the Alps.
Simem employs 250 people at its Italian headquarters and in several subsidiaries located in its major markets of Canada, United States, India and, more recently, in Germany. The company has also opened its second production plant in India, from where it serves areas in the Middle East and Asia.
In other countries, Simem has distribution agreements with companies representing well-known OEMs such as Caterpillar and John Deere.
Constructon 4.0
The expansion into international markets got a major boost in 2016, when Simem acquired two companies that are now fully integrated in the group: Simem Underground in Canada, that produces technologies for underground construction; and Simem Spil in Treviso, Italy – a specialist in automated systems for concrete precast.
According to the the company’s president, Federico Furlani, the construction market is going through a fourth industrial revolution, driven by digital transformation and by Environmental, Social and Governance (ESG).
He says, “Digital and ESG are new directions the whole industry is embracing, and Simem is fully committed since quite some time to anticipate the opportunities that these changes will bring to the concrete market.
“We are confident that the next 60 years will bring even more growth to our company.”
Partnerships are key
Simem recently celebrated its 60th anniversary at its Italian headquarters, hosting a gathering of partners, customers, and experts from the construction industry.
Santo Accogli, executive assistant director of plant & equipment at Webuild Group, celebrated the cooperation between his company and Simem spanning over 15 years, in which WeBuild utilised approximately 30 million m3 of conventional concrete and roller-compacted concrete (RCC) produced by Simem.
He reminded guests at the anniversary celebration of some of the projects his company had realised with the contribution of Simem, including the Panama Canal expansion, for which Webuild used two Simem RCC plants.
Another example was the Grand Ethiopian Renaissance Dam Project (GERDP) – a huge (and fully Italian) construction project, realised with RCC produced in Simem plants.
According to Accogli, the building site reached a production of almost 12 million m3 of concrete, with a maximum peak of 1,450 m3 per hour.
Federico Furlani believes the company’s growth and success derive from the work of all the employees who strive every day to imagine, design and build some of the world’s biggest concrete plants.
He says, “Among the projects in the works right now, we have a large 3D printer for dam construction, a system for CO2 sequestration from concrete (using wood chips and lime), and a digital platform that will integrate BIM, IoT and Blockchain.”
With this combination of digital technology and a sustainability ethic, the future for Simem would appear to be bright…and green."
20 April 2023,60 years building concrete plants,"


Simem is a family-owned manufacturer of concrete plants, located since 1963 in the Verona province, Italy.
Like many other small and medium manufacturing companies in this area, Simem was founded by the intuition of one single entrepreneur, Piero Furlani, who started with the production of cement mixers with reversing drums.
In the 60 years since, the management of the company has been passed on to the two sons: Federico, now president, and Michele, managing director. Together they now manage an international enterprise which can be counted among the top players in the market for concrete plants worldwide.
Simem has supplied its plants to many key construction projects around the world, among others the Panama Canal expansion, the Hong Kong airport, the EuroTunnel under the English Channel, the Petronas Tower in Malaysia, the Olympic Stadium in Sydney, and until the Brenner Base Tunnel currently under construction.
Simem employs 250 people in the Italian headquarters and in several subsidiaries located in its major markets: Canada, United States, India, and more recently in Germany. The company has also opened its second production plant in India from where it serves areas in the Middle East and Asia.
In other countries, Simem has distribution agreements with company that represents well-known OEMs as Caterpillar and John Deere.
The expansion into international markets got a major boost in 2016 when Simem acquired two companies that are now fully integrated in the group: Simem Underground in Canada that produces technologies for underground construction, and Simem Spil in Treviso, Italy: a specialist in automated systems for concrete precast.

According to the President, Federico Furlani, the construction market is going through a fourth industrial revolution which is driven by digital transformation and by Environmental, Social and Governance (ESG): “Digital and ESG are new directions the whole industry is embracing, and Simem is fully committed since quite some time to anticipate the opportunities that these changes will bring to the concrete market. We are confident that the next 60 years will bring even more growth to our company.”
Simem celebrated its 60th anniversary at the Italian headquarter, hosting a gathering of partners, customers, and experts from the construction industry.
Santo Accogli, GSC Pl&Eq - Plants Dept Head, Senior Manager at Webuild Group, celebrated the cooperation between his company and Simem spanning over 15 years, in which WeBuild utilized about 30 million cubic meter of conventional concrete and roller-compacted concrete (RCC) produced by Simem.
He reminded to the guests at the anniversary celebration some of the projects his company realized with the contribution of Simem, as for example the Panama Canal expansion where Webuild used two Simem RCC plants.
Another project is the Grand Ethiopian Renaissance Dam Project (GERDP): a fully Italian, gigantic project realized with RCC produced in plants by Simem. The building site reached a production of almost 12 million m3 of concrete, with a maximum peak of 1,450 m3 per hour.
Federico Furlani said that the company’s growth and success derive from the work of all the employees who strive every day to imagine, design and build some of the world’s biggest concrete plants. “Among the projects in the works right now, we have a large 3D printer for dam construction, a system for CO2 sequestration from concrete (using wood chips and lime), and a digital platform that will integrate BIM, IoT and Blockchain.”"
