Date,Title,Content
29 May 2023,Still time to book for ITC tower crane conference in Barcelona,"


Get your tickets now for the International Tower Cranes conference in Barcelona, Spain, on 13 and 14 June.
See the full speaker line-up for this year’s ITC at the conference website.
Topics include new options for powering tower cranes, the future of self erecting towers, digital technology innovations, and a report on how tower cranes continue to work on Barcelona’s famous Sagrada Familia church.


The programme is given below. Click here to reserve your space at the event.

WELCOME: Jorge Cuartero, managing director, ANMOPyC

MORNING KEYNOTE Overview of Spain’s tower crane marketMiguel Cerezo Rodríguez, CEO, Grúas Cerezo

How to power tower cranes with minimal draw from the electricity gridDr. ir. Bart Meersman, director and co-founder, Neargrid Solutions

Crane design evolution and adaptation to future construction challengesJorge Lucas, sales manager, Jaso Tower Cranes

Wire ropes on tower cranes: challenges and solutionsAlexander Knepp, research engineer, KV R&D Center for rope development and testing

Panel discussion: Self erecting tower cranes; their place in the market and the potential for growthNicola Castenetto, business line director, Terex Tower CranesJulian Dyer, sales manager, Falcon Tower CranesJörg Hegestweiler, CEO, BKL Baukran LogistikClemens Maier, product manager, Liebherr Tower Cranes(Chaired by Niamh Marriott, ICST deputy editor, KHL Group
AFTERNOON KEYNOTE Pushing boundaries: sustainability and new technology must lead the way in tower crane rentalAndrew Brown, managing director, Falcon Tower Crane Services

High tech safety systems in practiceLior Avitan, CEO & co-founder, Ultrawis

Steel spires: tower cranes on the Sagrada Familia cathedralAntonio Bello Figueroa, Ibergruas and Carlos Pimenta, Manitowoc Crane Group Portugal

Precision load control for increased safety and productivityViktor Mosolf, head of digitalisation, Wolffkran and Dr.-Ing. Mohamad Abouelezz, head of product management, Wolffkran

Case study: planning the craneage on a construction site with multiple tower cranesAlbert Fitoussi, Managing Director, MéthoCAD

A site visit on the day before the conference, on 13 June, has been arranged. It will be to La Sagrada Familia, the famous chirch designed by Antoni Gaudi, in the city.
The event has the following sponsors:
The event partner is Specialized Carriers & Rigging Association (SC&RA), and supporting associations are ANMOPyC and ESTA.
"
29 May 2023,Kubota unveils new excavator,"Kubota has unveiled its latest addition to its line of mini excavators with the new 8.5 tonne KX085-5.
The excavator, which is said to come with more than 20 improvements over the previous ‘dash 4’ model, is powered by a low-emission Kubota engine and can be equipped with a two-piece boom for expanded working range.
The KX085-5 includes an auto-idling system that automatically reduces the engine RPM to idling speed when the control levers are left in neutral for more than four seconds.
Kubota says the machine was designed to “ensure operators can save energy and running costs, as well as reduce noise and exhaust emissions” and boost work efficiency and increase productivity through its hydraulic mechanism that enables operators to run the arm, boom, bucket, and swivel simultaneously.
Other features include two auxiliary circuits with adjustable maximum oil flow, load sensing hydraulic system, float function, auto-shift system, a redesigned cab with wider entry point and floor and an Engine Auto Stop system that comes as standard that will automatically turn off the engine when an adjustable idling time has passed.
Elsewhere in the cab, a double adjustable air suspension seat for greater levels of comfort and operability comes as standard, while a full-colour, high resolution 7” LCD digital display screen ensures users can view all relevant operational information at a quick glance.
The machine, which is scheduled for its first Delivery in July, was shown to Kubota dealers in the UK last week alongside two new electric RT compact wheel loaders, which were first seen at Bauma last year.
The RT210-2e and RT220-2e are both powered by a 48V system with modular 260Ah lithium-ion batteries as standard and can be recharged via a Standard Integrated 40A on-board charger in seven hours. An optional supercharger can charge the machines fully within 90 minutes.
The RT210-2e’s long loader arm has a reach of up to 2,852mm, while the RT220-2e shorter loader arm has an increased lift capacity of up to 1,140kg.
Both the compact loaders and mini excavator will make their public debut next month at UK trade show plantworx."
26 May 2023,Heavy wheeled loaders: The workhorse of the construction site,"Heavy wheeled loaders have a home in almost every construction site and operators are spoilt for choice with the innovative machines manufacturers are releasing.
Komatsu Europe displayed the new WA800-8 wheeled loader at the demo ground at Bauma Munich in October 2022. The loader is said to have been designed for maximum operating comfort in addition to featuring a modulation clutch, variable traction control, an auto kick down and an RPM set.
The Japan-based company has also redesigned the machine’s extra-large 11.5m³ bucket, complete with its optimised maximum fill feature.
With a total operating weight of 115 tonnes, the WA800-8 meets the latest EU stage V emission regulations with a Komatsu-designed, developed and manufactured engine and after-treatment system.
“Our WA800 has always been well-appreciated for its reliability and productivity”, says Jo Monsieur, group manager for large machines at Komatsu Europe.
“And this latest generation surely continues this legacy. Furthermore, Komatsu has really set new standards for stability, comfort and safety and we are very proud to be able to offer this to our customers.”
Liebherr’s XPower wheeled loaders have established themselves at the forefront of fuel efficiency and robustness.
Liebherr says one reason is their power-split travel drive, installed as standard in all Liebherr XPower wheeled loaders. The combination of hydrostatic drive – advantageous for material uptake and travelling over short distances – and mechanical drive ensure that the machine works at maximum efficiency.
In addition to the two drive types, Liebherr offers a range of intelligent assistance systems for its mid-size and XPower wheeled loaders, including active personnel detection with brake assistance. The optional assistance system warns the machine operator of hazards in the rear area of the machine. Sensors and artificial intelligence combine to distinguish between people and objects for additional safety. As soon as the sensors detect a source of danger, the brake assistant automatically decelerates the wheel loader‘s speed. This shortens the stopping distance by multiple feet, reducing the frequency and intensity of potential accidents.
In Denmark, 40 Liebherr XPower wheel loaders are being used for material handling at RGS Nordic – which specialises in recycling construction and demolition waste materials.
Michael Jørgensen, strategic purchasing manager, commented, “The Liebherr wheel loaders need less fuel, are powerful and have hardly any downtime. We are particularly impressed that we achieve 30% more productivity with the same fuel consumption than with comparable wheel loaders in this size class.”
RGS Nordic was in the market for efficient wheel loaders with power-split drive to reduce CO2 emissions. With the company’s main focus on converting construction waste into reusable and circular products that can be integrated into the product cycle, it was important for the machinery used to reflect the same values.
Develon, formerly known as Doosan Construction Equipment, now offers the company’s latest generation ‘DL-7’ wheel loader range driven by new Stage V compliant engines and providing higher productivity, increased fuel efficiency and a low cost of ownership, coupled with a new cab offering an enhanced experience for the operator.
The four biggest standard models in the DL-7 range are the DL420-7, DL480-7, DL550-7 and DL580-7. The machines feature redesigned buckets offering up to 7% more capacity with maximum bucket capacities from 4.5 to 6.4 m3. Develon says that this provides increased productivity for a wide range of material-handling applications.
In addition to the company’s wheel loader range, Develon has introduced the ‘world’s first “transparent bucket” system’ for wheel loaders. The system is said to enable the wheel loader driver to see the blind spots in front of the machine’s bucket, using a monitor installed in the cab. By recording images with top and bottom front-loaded cameras and projecting the combined images in real-time using a curved projection method, the transparent bucket system provides a full view for the driver.
Develon says that the transparent bucket system addresses the issue of safety concerns caused by blind spots in front of wheel loaders due to their buckets. With this new feature, drivers can now easily check blind spots in front of the bucket via the cab monitor, increasing safety and reducing accidents.
Moreover, the transparent bucket system is said to enhance work efficiency by providing a forward view for the driver during loading, unloading, or carrying materials like aggregates, sand, and soil.
The company has applied for patents in Korea, North America, Europe, and China, making it the first company to develop and implement a front projection function with a transparent bucket for construction machinery.
A Develon spokesperson stated that advanced safety systems have become crucial in equipment selection with increasing safety standards. The company plans to continue developing safety features that prioritise driver and worker safety, aiming to lead the industry towards safer and accident-free construction sites.
Volvo Construction Equipment (Volvo CE) has taken a major step forward in advancing its electromobility offerings with a new solution.
The company has converted its L120 wheel loader into an electric version, catering to the increasing demand for sustainable solutions in the mid-size range. The conversion was done in collaboration with partners Parker Hannifin and CE Engineering Solutions, a Volvo Group subsidiary.
The L120H Electric Conversion, available to selected customers in Europe from 2023, will provide the same performance as the conventional machine while emitting zero emissions.
Volvo CE says that it is committed to achieving a carbon-neutral construction industry and has partnered with CE Engineering Solutions and other electromobility partners to accelerate the availability of commercialised electric solutions across all segments and applications. This collaboration is part of the company’s efforts to expand its line of electric wheel loaders, following its investment in Dutch manufacturer Limach in June to broaden its electric excavator portfolio.
The L120H Electric Conversion is expected to provide numerous benefits to the construction industry, including reduced noise pollution, lower operating costs, and increased productivity. The machine’s electric powertrain also offers instant torque, making it more responsive and efficient than traditional combustion engines.
In addition, the electric version is designed to require less maintenance than its diesel counterpart, reducing downtime and increasing overall equipment availability.
Powered by 240 kWh batteries, the L120H provides a runtime of approximately five hours in most medium-duty applications. Consistent with Volvo’s existing charging solutions, it is estimated to charge from 0-100% in just 1.5-2 hours.
Carl Slotte, head of sales region Europe at Volvo CE, says, “There is no time to wait – we need to deliver solutions that allow our customers to achieve their decarbonization goals. Change starts here.
“Our commitment to partnership allows us to take a leading position in transforming our industry, with electric solutions that are built to fulfil market demand and tailored to suit the changing needs of our customers. Working together, we are scaling up our portfolio of electric machines, extending the versatility of our range and transforming our industry towards a carbon-neutral future.”
Depending on market demand, Volvo CE says there could be the possibility to convert existing users’ L120H wheel loaders to electric in the future.
Beyond sustainability, Volvo CE is significantly developing the safety systems that are available on their wheeled loaders.
Volvo CE has launched its Collision Mitigation System for Volvo Wheel Loaders, which aims to support operator response and reduce the risk of collision when working in reverse. The feature automatically applies the service brakes when the wheel loader approaches an obstacle, helping to mitigate the consequences of accidents and reduce the risk of unplanned interruptions.
The system is designed to facilitate job site safety and remembers the last slope the machine climbed for seamless stockpiling operations. Volvo CE says that it can be temporarily deactivated for specific site conditions and only functions when the wheel loader is in reverse and driving between 3-15 km/h. The Collision Mitigation System is a factory-fit option for a range of Volvo wheel loaders and is available globally.
Lars Eriksson, global product manager for wheel loaders at Volvo CE says, “We at Volvo CE continue to proactively develop intelligent solutions which not only mitigate the consequences of accidents but strive to avoid them altogether.
“This new Collision Mitigation System is one important part of our work to reduce the risk of accidents and help fulfil our commitment towards zero accidents.”
Volvo CE has developed the Collision Mitigation System in-house for its line of wheel loaders. This factory-fit option is currently offered on the L110H/L120H equipped with OptiShift, L150H, L180H, L220H, L260H, and L200H High-Lift wheel loaders.
To function, it requires a Radar Detect System to be installed, adding to the existing range of features, options, and site services designed by Volvo CE to promote job site safety and reduce unforeseen interruptions.
The heavy wheeled loader market is certainly busy. Enhancements are being made left, right and centre with almost a solution for everything. As always, it is an exciting time in equipment development and the year is sure to bring about more innovations."
26 May 2023,Wacker Neuson creates attachments business,"Wacker Neuson is creating a dedicated business unit for attachments for its products such as excavators, telehandlers and wheeled loaders.
The new division, which will become part of the company’s Aftermarket unit, will be led by managing director Reinhold Baisch, who has 25 years of experience in the construction equipment market, including many years with compaction specialist Hamm.
Alexander Greschner, CSO of the Wacker Neuson Group, said; “This further professionalisation of our attachments business will enable us to strengthen and build on this field, positioning us here also as a comprehensive customer-centric solution provider in the construction and agricultural sectors.”
Reinhold Baisch added; “The right attachments transform our compact machines into the versatile helpers our agricultural and construction customers have come to know and expect.
“We are also seeing exciting developments in this area, with digital assistance systems and standardised interfaces playing an increasingly important role.
“I am very much looking forward to establishing and advancing this segment.”"
18 May 2023,Digging with a twist: What are the advantages of a tiltrotator?,"Popular in Scandinavia, and growing in other areas of Europe, the tiltrotator is deemed to significantly increase machine efficiency.
The tiltrotator can look like a confusing bit of kit but it is possible to think of it as a wrist that directly connects to the excavator’s arm or beneath the excavator’s quick hitch. The tiltrotator is then connected to the excavator’s hydraulics and electrical system. Depending on the excavator’s extra hydraulics, control is adapted to suit different types of control system.
In the early 1980s, the Norgrens family introduced the Tiltrotator to the Swedish market under their family-owned and operated company Noreco, and since then it has become a standard in the Scandinavian region. The concept has also recently gained popularity in many other countries across the globe, including the Netherlands, Germany, the United Kingdom, Japan, Canada, and the United States.
Sven-Roger Ekström, senior product manager at Rototilt, understands the capabilities of tiltrotators better than most and believes that they have several benefits that could change the way we work on construction sites.
Upon asking Ekström why everyone should have a tiltrotator, he reels off a list of what he believes are the key advantages. “Your excavator becomes an efficient tool carrier in addition to working faster and more flexibly with fewer machine movements.”
Ekström adds that such qualities allow companies to take on new types of jobs and will require less manual labour around the machine.
Unfortunately, the skills shortage is as much a concern as it was in 2022 and including a new attachment into the field can cause apprehension for potential buyers, who may be uncertain about imposing such a complex attachment on operators.
Ekström, however, says it takes only a short time to become proficient with a tiltrotator. “If you are a skilled excavator operator you will need 1-2 weeks to perform really well. After that first jumpstart, you will start to see new opportunities such as how to solve working tasks in a new way and become even more efficient.”
Stefan Stockhaus, CEO of Steelwrist, believes that tiltrotators are also the answer to increasing safety in potentially dangerous working conditions. By using tiltrotators, jobs traditionally done outside the cabin can be moved into the cabin, removing ground workers from risk-prone roles. “It’s not all about efficiency,” he says. “It’s also about safety and becomes an alternative to a standard factor.”
Increasing efficiency is undoubtedly a huge advantage on the modern-day construction site and Ekström says tiltrotators can increase efficiency by 25% to 30% depending on the type of job. “On some jobs where you, with the combination excavator plus tiltrotator, can do the same job as two or three standard excavators you of course calculate with even higher figures,” he adds.
Steelwrist’s Stockhaus agrees with Rototilt’s Ekström regarding his sentiments on the tiltrotators ability to increase efficiency, but he adds that enjoyment is also a benefit. “In our case, 96% of all the experienced users say that the job is more fun. And if the job is more fun, it’s easier to attract good employees. Those are two really strong cases. As I see it anyway – efficiency, profitability, but also more fun.”
Mature markets, such as Scandinavia, have embraced the adoption of tiltrotators. Almost 90% of excavators in the region have the attachment, which is said to be crucial to winning projects as well as meeting specific sustainability goals.
While Scandinavia has fully adopted this form of attachment, the rest of Europe is somewhat slower. “It always take time to break new ground and to change old habits,” says Ekström.
“In Scandinavia, we have a long practice of getting more efficient because of expensive, and the lack of manual labour. We also have a market with many small contractors that often see the owner in the cab working with the equipment; therefore, he can quickly see the benefit of working in a new way.”
Stockhaus believes the popularity surrounding tiltrotators in Scandinavia comes from the region’s pressure on increased productivity – it is also the key to getting jobs.
Elsewhere in Europe, Ekström says that big companies with a large rental market often take longer to see the benefits. Other obstacles, he says, can be that as long as the contractors are satisfied with buying two or three machines instead of one machine with a tiltrotator, the dealers will not push the product until the customer asks for it.
Autumn 2022 saw Rototilt launch its Rototilt Control product concept featuring tiltrotators, joysticks, a new control system and a remote support app. The product has become well established in the market and companies are starting to realise their potential – Rototilt are now expanding the number of tiltrotators in their RC series.
The company confirmed that Rototilt’s R4 and R8 tiltrotators will gain counterparts in the RC series launched at Bauma last year. This means that Rototilt’s new RC System control system and the new RC Joysticks will be available to machines weighing between 10 and 43 tonnes.
The R4 tiltrotator has historically been one of Rototilt’s most popular products, according to Ekström, who has high expectations ahead of the sales launch.
He says, “We started in the mid-range but are now expanding the concept to encompass both bigger and small machines. Today we are delighted to offer increased energy efficiency and an improved driving experience for a wider range of machines and users.”
The new tiltrotator series, due to launch in February 2023, features pressure-compensated hydraulics and is said to deliver greater energy efficiency than its predecessors, in addition to enabling more controlled excavation movements.
As part of a joint initiative, Steelwrist and Rototilt have come together to set an industry standard for fully automated quick couplers under the Open-S Alliance. The non-profit organisation sets out to develop and promote the Open-S standard, with the ultimate aim of achieving global interchangeability between quick couplers, tiltrotators and work tools for excavators.
The alliance’s standardisation work has been ongoing for the last two years with the purpose to increase safety and efficiency for excavator owners, operators and ground personnel.
The partnership has started to create a uniform manufacturing standard for dimensions and tolerances as well as making it cost efficient to retrofit adaptor brackets to used and new buckets and work tools.
In 2021, Volvo Construction Equipment became the first excavator specialist to join the alliance in hopes to work with other industry partners on improving work tools for excavators. The demand for fully automatic quick couplers on excavators has continued to grow rapidly in general construction and it is said that all partners are seeing opportunities for growth in a variety of sectors.
Steelwrist and Rototilt are paving the way for the future of tiltrotators, in addition to the likes of Volvo Construction Equipment and Caterpillar. Scandinavia needs no convincing evidence of the advantages of tiltrotators and it seems the rest of Europe is taking a particular interest in increasing efficiency.
Last year, Caterpillar Work Tools Division announced new Tilt Rotate System (TRS) models for Cat 302.7 through 310 Next Generation Mini Excavators.
The new TRS4 and TRS8 S45 plus updated TRS6 models allow attached work tools to rotate 360 degrees and tilt 40 degrees side-to-side. This enables the machine to reach more work areas from a single position, while manoeuvring tools over, under, and around obstructions when excavating, grading ditches, sorting recycled materials, or placing pipe.
The new TRS models are said to multiply the mini excavator’s versatility and are available in various configurations to match the application.
The TRS6 and TRS8 feature a standard TRSAux2 auxiliary port at the bottom to connect a variety for different hydraulic tools whilst the compact design of the TRS4, TRS6 and TRS8 allows the mini excavator to maintain high digging forces.
TRS4 models are designed for efficient use by the 302.7, 303, 303.5 and 304 Mini Excavators, while the TRS6 models are compatible with the 305.5CR and 306 CR models. The TRS8 models are designed for use with the 307.5, 308, 308.5, 309 and 310.
Engcon is seeing “stable profitability” after reporting record-high net sales for the fourth quarter of 2022.
While the last three months of 2022 saw the company’s order intake decline by 29% SEK553 million (€49.4 million), its net sales increased to SEK541 million (€48.3 million).
This is up 46% on the SEK370 million (€33 million) the company brought in for the same period in 2021 - with operating profits also up 57% on the previous year to SEK 121 million (€10.8 million).
Overall, this resulted in a fourth quarter profit rise of 20%, to SEK 90 million ($8.6 million), up from SEK75 million (€6.8 million) in the fourth quarter of 2021.
Engcon’s fourth quarter results meant that for the whole of 2022 the company saw an order intake rise of 1%, up from SEK1.96 billion (€131.9 million) in 2021 to SEK1.97 billion (€171.4 million).
2022 net sales also increased by 30%, from SEK1.48 billion (€131.9 million) in 2021 to SEK1.93 billion ($186 million), with profits last year amounting to SEK325 million (€29.6 million) - a rise of 21%.
Krister Blomgren, Engcon’s CEO, said, “Combined with increased economic uncertainty, inflation and interest rates, this led to an expected downturn in Nordic and European markets in the fourth quarter compared with exceptional comparative figures. Despite this, the order intake was at a high level when seen from a long-term perspective.
“It is worth noting that there was a break in the trend in 2022, with growth markets recording higher order intake than the Nordic region for the first time.”
Looking to the future, Engcon plans to continue investing in its third generation tiltrotator system and expand its sales network.
"
17 May 2023,Vermeer opens Global Parts Distribution Center,"Vermeer announced the opening of a new 312,000-sq.-ft. Global Parts Distribution Center, located on the campus of its Pella, Iowa, corporate headquarters. The facility will package and ship parts to customers and dealers worldwide.
The Global Parts Distribution Center is located at the end of what was once an old runway used by company founder Gary Vermeer to deliver parts by plane. Its placement within the corporate headquarters campus will allow it to leverage the manufacturing capabilities of the “Vermeer mile,” where most of the company’s products are assembled.
“Vermeer is focused on optimizing this facility so we can most efficiently deliver the right part at the right time to our customers. This facility allows customer support, engineering, procurement and logistics to be co-located. They work in conjunction with our operational team members to make sure we fulfill customer and dealer expectations daily,” said Tony Briggs, vice president of the Vermeer Lifecycle product group.
He noted that nearly one-third of the warehouse is filled with parts manufactured by the various plants located along the Vermeer mile. “It is very convenient for us to be located near the manufacturing facilities that supply those parts. Ultimately, we bundle the Vermeer-manufactured parts with other parts and ship the orders around the world to take care of our customers,” said Briggs.
The new Global Parts Distribution Center includes three times more space than the previous building, plus includes 23 dock doors, a warehouse management system and improved warehouse technology.
Its opening follows an earlier announcement by Vermeer of the expansion of its parts manufacturing footprint at its facility in Des Moines, Iowa, where horizontal directional drill tooling and utility tractor attachments are manufactured."
17 May 2023,Wacker Neuson celebrates 175th global anniversary,"On Monday, May 15, 2023, Wacker Neuson employees globally commemorated the company’s 175th anniversary. Its 6000 employees marked the celebration through a global call hosted by the company’s headquarters in Munich, Germany.
The company’s foundation was laid in 1848 when Johann Christian Wacker set up a blacksmith shop in Dresden, Germany. Early innovations from the company included the introduction of an electric rammer by Hermann Wacker in 1930, and the development of an internal vibrator for concrete consolidation in 1934, as well as a reversible plate for soil compaction.
Over 200 patents and utility models followed. In more recent years, Wacker Neuson has expanded into other equipment forms, including the addition of an all-new skid-steer and compact track loader line to the North American market in 2014, and later the Dual View Dumper for jobsite material handling. That same year, the company introduced two battery-powered rammers and the WL20e battery-powered wheel loader in Europe.
Today, the company’s products include an extensive line of battery-powered, zero-emission compaction and concrete consolidation products powered by the Battery One modular battery system. Future introductions in North America will include the EZ17e zero-emission mini excavator and battery-powered wheel loaders, dumpers and telehandlers.
“Taking the time to celebrate 175 years of quality and innovation reflects the commitment of our company to the many dedicated Wacker Neuson employees who have contributed to our global success throughout our history and those that are now leading us into a bright future,” said Gert Reichetseder, President and CEO, Wacker Neuson America Corporation.
“We originated the compaction industry and that will always be at the heart of Wacker Neuson, even as we grow our product offering into exciting new areas.”"
16 May 2023,Why America is ready for electric construction equipment,"
North America is ready for electric construction equipment, contrary to perceptions in some quarters that appetite for the machines lags that in Europe.
That’s according to Stephen Roy, president of Volvo Construction Equipment, Americas, speaking to International Construction.
Roy said he was seeing pockets of demand for electric machines across the USA, and that it wasn’t just their lower carbon emissions that was generating interest but the lower levels of noise and vibration.
When asked if electrically powered machines were likely to prove less popular in the North American market than in Europe, Roy said, “There are parts of the European market that are more progressive than other parts of the European market, so it’s not even the same in Europe and I think it’s the same here.
“We have states with high population density and when you go further towards the West Coast you get a lot more focus on environmental standards and more early adopters.”
Roy said he saw the trend to electrically powered machines continuing in the compact equipment market but also moving into the mid-range. Volvo is already piloting its first larger electrified excavator, the 22t EC230 in markets including Finland, Norway, South Korea, Sweden, and the machine is now making its way to North America.
“We have customers that are already ready to demo and get familiar with it and then we’ll start production for North America next year,” Roy said. “For the larger machines we see some alternative power solutions such as hydrogen fuel cells or hydrogen combustion engines”. The company already displayed a 30t prototype hydrogen fuel cell articulated hauler at ConExpo 2023 earlier this year.
Roy also highlighted the fact that certain customers are interested in the lower levels of noise and vibration that electric machines can offer, rather than just their sustainability credentials.
“It’s not just about emissions. A lot of our customers are really excited about low noise and no vibrations, which can lead to improved operator conditions and also improved safety. We didn’t lead with that but we are finding that it’s just as important and creates new opportunities,” he said.
And he pointed to some unusual examples of where electric machines have proved a success in North America. “We’ve sold compact machines in areas that I would never have thought we’d sell them.
“We laugh about this but the Toronto Zoo needed machines to work at the same time that the buffalos were there but the noise from diesel machines scared them away. We also have an example of a school system that wanted to do some repairs as they are expanding a facility but the work was right next to a classroom and so again the electric machine was more suitable because it was lower noise.”
Roy said that the shift Volvo anticipated taking place in the market meant that competencies among its own workforce also had to change. “We’ve had to go out and search for people that have backgrounds in software and electrical engineering. It’s definitely a new ballgame but it’s a positive in that it’s bringing people into Volvo that maybe wouldn’t have considered it before. Electric and sustainable power brings a whole new generation of people who want to be part of this transformation.”
Meanwhile, Roy, who is set to become president of Volvo-owned Mack Trucks next month, said that machine control technology in construction equipment “continues to get better and more sophisticated”.
He highlighted Volvo’s Dig Assist platform. “We now have a process where you can have an expert operator dig a hole for a certain application. So maybe you were putting in a culvert in a subdivision and you need to dig the hole in the same way. An expert can go out and dig it to the parameters that we need, save the file and transfer it to another excavator. And that excavator operator can now benefit from the best practice of the first, experienced operator.”
And he pointed to the growing capabilities of Volvo’s remote-controlled machines and its productivity tools.
The OEM recently handed over a remote-controlled EC250 excavator to a customer in South Dakota who works installing pipes in a water sewer.
He also noted that Volvo has the capability to retrofit non-Volvo machines and link them into Volvo’s Connected Maps feature, which allows a visual overview in real time of the position and movement of every machine, vehicle and visitor to site.
"
10 May 2023,Develon launches new 6-tonne Stage V mini-excavators,"

Develon has launched the new DX62R-7 and DX63-7 6 tonne Stage V mini-excavators with a new shared global styling design.
The new mini-excavators are designed to offer maximum performance, optimum stability, increased versatility, enhanced operator comfort, controllability, durability, ease of maintenance and serviceability.

Both models are powered by the new D24 Stage V compliant diesel engine providing 44.3 kW (59.4 HP) of power. Develon says that despite offering an 8% increased torque of 26.5 kgm/rpm, the D24 engine still provides a 7% decrease in engine fuel consumption.


Moreover, the DX62R-7 and DX63-7 employ a Load Sensing System that operates on a new Main Control Valve. The mechanism enables a longer spool stroke, thereby enhancing controllability and work efficiency/performance in comparison to the previous models.
Both machines provide an auxiliary flow of 90 litres per minute, which improves the efficiency of work with attachments. The flow capacity can be easily monitored on the Develon Smart 8-inch touch screen in 10 increments and can be controlled using the thumbwheel located on the joystick.




The new cab on the DX62R-7 and DX63-7 features a full glass entry door to maximise operator visibility on this side of the machine from inside the cab. A rear-view camera is optional and the high luminance LED work lamps (which are standard) on the cab further enhance visibility and safety.








The mini-excavators include the latest Develon Fleet Management TMS 3.0 Cellular system installed as standard, which provides a telematics management system for the excavators, by collecting data from sensors on the machines."
09 May 2023,‘Significant’ Q1 growth for Wacker Neuson Group,"But the company admitted that it does not expect to improve on these figures during the rest of the year.
The Germany-based company’s revenue climbed by almost 28% year-on-year to €667.2 million, while EBIT (earnings before interest and taxation) – aided by a one-off sale of fixed assets – more than doubled to €87.8 million.
The EBIT margin of 13.2% was also considerably higher than the 7.5% achieved in 2022.
“As anticipated in our annual guidance, we have carried the full momentum from previous quarters into the new fiscal year and continued to grow significantly,” said Dr Karl Tragl, chairman of the executive board and CEO of the Wacker Neuson Group.
“At the same time, we continue to expect the first quarter to also be the strongest of 2023.” r
As in previous quarters, all three reporting regions contributed to growth in the first quarter with big increases.
In the Europe (EMEA) region, revenue rose by 22.4% €504 million compared to €411.6 million in 2022, with particularly positive growth in Germany.
On the product side, demand for excavators, wheeled loaders and telehandler increased noticeably.
The Americas region grew by 57% to €142.6 million, with a particular sharp year-on-year increase in the USA and further growth in Canada and South American markets.
Asia-Pacific region posted a lesser increase, by 7.3% to €20.6 million, driven primarily by the Australian market with products adapted to the needs of the local market and the focus on independent rental companies continuing to generate strong demand.
By contrast, the Chinese market continued to prove difficult and declined in the first quarter.
Speaking on supply chains after the group’s net working capital ratio fell from 31.9% to 30%, CFO Christian Burkhard said: “We are are still a long way from a normalisation of the situation.
“However, the continued increase in inventory levels paid off in the first quarter as we systematically exploited our growth opportunities. Nevertheless, it goes without saying that effective working capital management remains at the top of our agenda.”"
