Date,Title,Content
30 May 2023,World’s top ten construction OEMs revealed,"The latest Yellow Table, International Construction’s annual ranking of the world’s top 50 construction equipment manufacturers by sales figures, has revealed that sales for 2022 were US$230.6 billion, one of the highest figures ever recorded in the listing.
A large reason for this growth is the performance of manufacturers based in the US. OEMs based in the US accounted for over 26% of the total revenue of the Yellow Table, up from 21% in the last listing.
You can view the full Yellow Table in the latest issue of International Construction magazine with in-depth analysis.
The top ten biggest construction equipment manufacturers in the world for 2022 were:
10. JCB, UK
JCB enters the top ten for the first time in several years, with strong sales in the OEMs main market of India boosting its bottom line. The OEM is investing heavily into hydrogen technology.
9. Sandvik, Sweden
Another rise up the table for Sandvik – the company was at number ten last year. The company has been making numerous acquisitions, with the OEM making ten acquisitions in 2022, helping to explain their increased ranking.
8. Hitachi, Japan
Hitachi had construction equipment sales of US$9.2 billion, a steady increase from its final results last year. In 2022 the brand saw the ending of its joint venture with John Deere, with Hitachi Chairman Sonny Ishii saying at ConExpo that, “The Americas market is the single most important market, or priority, for Hitachi Construction Machinery.”
7. Liebherr, Germany
Liebherr saw good growth in 2022. In its own report it said that its construction and mining segments – earthmoving, material handling technology, deep foundation machines, mobile and crawler cranes, tower cranes, concrete technology and mining equipment – had an average increase in turnover of 6.9%. Liebherr says it is taking a technology-neutral approach to its research, which includes the increased use of hydrogenated vegetable oils (HVO), for potential use in construction equipment.
6.Volvo Construction Equipment
When adjusted for currency changes, Volvo Construction Equipment (Volvo CE) had sales of US$9.9 billion keeping it in sixth place. The company is one of the leading OEMs when it comes to electric construction equipment, with one of the largest commercially available ranges including its new 23 ton battery electric excavator.
5. Sany, China
China-based Sany drop down one place in the table, from number four to number five. The Chinese construction market faced challenges in 2022 following on from two strong years so a general drop in China-based OEMs on the table was expected.
4. John Deere, US
US-based John Deere increased its ranking on the Yellow Table by one place, as it did in the previous Table. The company’s purchase of the Wirtgen Group has been a success and provided the company with access to new markets.
3. XCMG, China
Despite seeing sales fall, XCMG remains the world’s third largest OEM. As is the case with all major Chinese OEMs, the company is actively looking to increase its share of the international market and its most recent results showed record overseas sales. One of their leading executives believes that there is more growth to come in these markets.
2. Komatsu, Japan
Komatsu remains at number two on the list and has extended the gap between it and the rest of the table with sales that, when adjusted for currency, were similar to the last Yellow Table. The OEM recently announced the development of a medium-sized hydraulic excavator concept, powered by a hydrogen fuel cell. The manufacturer said the machine’s development is in line with its aim to achieve carbon neutrality in construction equipment.
1. Caterpillar, US
Caterpillar retains its traditional position as the world’s biggest construction manufacturer with sales with sales of US$37.5 billion – approximately 16% of the total of the whole table. A senior executive at the OEM recently told International Construction about the OEMs plans regarding sustainability and new technology.
View previous Yellow Table’s to see who were the world’s top ten equipment manufacturers in previous years at the International Construction issue archive."
26 May 2023,Heavy wheeled loaders: The workhorse of the construction site,"Heavy wheeled loaders have a home in almost every construction site and operators are spoilt for choice with the innovative machines manufacturers are releasing.
Komatsu Europe displayed the new WA800-8 wheeled loader at the demo ground at Bauma Munich in October 2022. The loader is said to have been designed for maximum operating comfort in addition to featuring a modulation clutch, variable traction control, an auto kick down and an RPM set.
The Japan-based company has also redesigned the machine’s extra-large 11.5m³ bucket, complete with its optimised maximum fill feature.
With a total operating weight of 115 tonnes, the WA800-8 meets the latest EU stage V emission regulations with a Komatsu-designed, developed and manufactured engine and after-treatment system.
“Our WA800 has always been well-appreciated for its reliability and productivity”, says Jo Monsieur, group manager for large machines at Komatsu Europe.
“And this latest generation surely continues this legacy. Furthermore, Komatsu has really set new standards for stability, comfort and safety and we are very proud to be able to offer this to our customers.”
Liebherr’s XPower wheeled loaders have established themselves at the forefront of fuel efficiency and robustness.
Liebherr says one reason is their power-split travel drive, installed as standard in all Liebherr XPower wheeled loaders. The combination of hydrostatic drive – advantageous for material uptake and travelling over short distances – and mechanical drive ensure that the machine works at maximum efficiency.
In addition to the two drive types, Liebherr offers a range of intelligent assistance systems for its mid-size and XPower wheeled loaders, including active personnel detection with brake assistance. The optional assistance system warns the machine operator of hazards in the rear area of the machine. Sensors and artificial intelligence combine to distinguish between people and objects for additional safety. As soon as the sensors detect a source of danger, the brake assistant automatically decelerates the wheel loader‘s speed. This shortens the stopping distance by multiple feet, reducing the frequency and intensity of potential accidents.
In Denmark, 40 Liebherr XPower wheel loaders are being used for material handling at RGS Nordic – which specialises in recycling construction and demolition waste materials.
Michael Jørgensen, strategic purchasing manager, commented, “The Liebherr wheel loaders need less fuel, are powerful and have hardly any downtime. We are particularly impressed that we achieve 30% more productivity with the same fuel consumption than with comparable wheel loaders in this size class.”
RGS Nordic was in the market for efficient wheel loaders with power-split drive to reduce CO2 emissions. With the company’s main focus on converting construction waste into reusable and circular products that can be integrated into the product cycle, it was important for the machinery used to reflect the same values.
Develon, formerly known as Doosan Construction Equipment, now offers the company’s latest generation ‘DL-7’ wheel loader range driven by new Stage V compliant engines and providing higher productivity, increased fuel efficiency and a low cost of ownership, coupled with a new cab offering an enhanced experience for the operator.
The four biggest standard models in the DL-7 range are the DL420-7, DL480-7, DL550-7 and DL580-7. The machines feature redesigned buckets offering up to 7% more capacity with maximum bucket capacities from 4.5 to 6.4 m3. Develon says that this provides increased productivity for a wide range of material-handling applications.
In addition to the company’s wheel loader range, Develon has introduced the ‘world’s first “transparent bucket” system’ for wheel loaders. The system is said to enable the wheel loader driver to see the blind spots in front of the machine’s bucket, using a monitor installed in the cab. By recording images with top and bottom front-loaded cameras and projecting the combined images in real-time using a curved projection method, the transparent bucket system provides a full view for the driver.
Develon says that the transparent bucket system addresses the issue of safety concerns caused by blind spots in front of wheel loaders due to their buckets. With this new feature, drivers can now easily check blind spots in front of the bucket via the cab monitor, increasing safety and reducing accidents.
Moreover, the transparent bucket system is said to enhance work efficiency by providing a forward view for the driver during loading, unloading, or carrying materials like aggregates, sand, and soil.
The company has applied for patents in Korea, North America, Europe, and China, making it the first company to develop and implement a front projection function with a transparent bucket for construction machinery.
A Develon spokesperson stated that advanced safety systems have become crucial in equipment selection with increasing safety standards. The company plans to continue developing safety features that prioritise driver and worker safety, aiming to lead the industry towards safer and accident-free construction sites.
Volvo Construction Equipment (Volvo CE) has taken a major step forward in advancing its electromobility offerings with a new solution.
The company has converted its L120 wheel loader into an electric version, catering to the increasing demand for sustainable solutions in the mid-size range. The conversion was done in collaboration with partners Parker Hannifin and CE Engineering Solutions, a Volvo Group subsidiary.
The L120H Electric Conversion, available to selected customers in Europe from 2023, will provide the same performance as the conventional machine while emitting zero emissions.
Volvo CE says that it is committed to achieving a carbon-neutral construction industry and has partnered with CE Engineering Solutions and other electromobility partners to accelerate the availability of commercialised electric solutions across all segments and applications. This collaboration is part of the company’s efforts to expand its line of electric wheel loaders, following its investment in Dutch manufacturer Limach in June to broaden its electric excavator portfolio.
The L120H Electric Conversion is expected to provide numerous benefits to the construction industry, including reduced noise pollution, lower operating costs, and increased productivity. The machine’s electric powertrain also offers instant torque, making it more responsive and efficient than traditional combustion engines.
In addition, the electric version is designed to require less maintenance than its diesel counterpart, reducing downtime and increasing overall equipment availability.
Powered by 240 kWh batteries, the L120H provides a runtime of approximately five hours in most medium-duty applications. Consistent with Volvo’s existing charging solutions, it is estimated to charge from 0-100% in just 1.5-2 hours.
Carl Slotte, head of sales region Europe at Volvo CE, says, “There is no time to wait – we need to deliver solutions that allow our customers to achieve their decarbonization goals. Change starts here.
“Our commitment to partnership allows us to take a leading position in transforming our industry, with electric solutions that are built to fulfil market demand and tailored to suit the changing needs of our customers. Working together, we are scaling up our portfolio of electric machines, extending the versatility of our range and transforming our industry towards a carbon-neutral future.”
Depending on market demand, Volvo CE says there could be the possibility to convert existing users’ L120H wheel loaders to electric in the future.
Beyond sustainability, Volvo CE is significantly developing the safety systems that are available on their wheeled loaders.
Volvo CE has launched its Collision Mitigation System for Volvo Wheel Loaders, which aims to support operator response and reduce the risk of collision when working in reverse. The feature automatically applies the service brakes when the wheel loader approaches an obstacle, helping to mitigate the consequences of accidents and reduce the risk of unplanned interruptions.
The system is designed to facilitate job site safety and remembers the last slope the machine climbed for seamless stockpiling operations. Volvo CE says that it can be temporarily deactivated for specific site conditions and only functions when the wheel loader is in reverse and driving between 3-15 km/h. The Collision Mitigation System is a factory-fit option for a range of Volvo wheel loaders and is available globally.
Lars Eriksson, global product manager for wheel loaders at Volvo CE says, “We at Volvo CE continue to proactively develop intelligent solutions which not only mitigate the consequences of accidents but strive to avoid them altogether.
“This new Collision Mitigation System is one important part of our work to reduce the risk of accidents and help fulfil our commitment towards zero accidents.”
Volvo CE has developed the Collision Mitigation System in-house for its line of wheel loaders. This factory-fit option is currently offered on the L110H/L120H equipped with OptiShift, L150H, L180H, L220H, L260H, and L200H High-Lift wheel loaders.
To function, it requires a Radar Detect System to be installed, adding to the existing range of features, options, and site services designed by Volvo CE to promote job site safety and reduce unforeseen interruptions.
The heavy wheeled loader market is certainly busy. Enhancements are being made left, right and centre with almost a solution for everything. As always, it is an exciting time in equipment development and the year is sure to bring about more innovations."
24 May 2023,Why Komatsu has started factory-filling machines with HVO,"

Komatsu’s customers are still concerned about making the switch to hydrotreated vegetable oil (HVO), four years after the manufacturer approved the fuel for use in its machines.
That’s why the business has taken the decision, announced late last month, to start factory filling its new machines with HVO.
Komatsu is set to start factory filling its new machines in the UK and Germany from this month, with its Italian factory following suit before the summer.
Meanwhile the OEM is investigating the most suitable low-carbon fuel options in other areas of the world.
A Komatsu spokesperson told International Construction, “We have already approved using HVO in 2019 but customers are still concerned about switching to HVO.
“We would like to send a message to them that we are fully approving the use of HVO and encourage customers to make a switch.”
Komatsu said that it had chosen to start with factory filling in Birtley in the UK and Hannover in Germany because production in these factories involved Komatsu engines and the OEM didn’t need any further approvals from other engine suppliers.
And it said that while they admitted the environmental impact of such a move was low, they hoped it would serve as a confidence-boosting measure for customers.
The business, which this month also launched a mid-sized hydrogen fuel cell excavator concept, is targeting a 50% reduction in CO2 emissions from the use of its products and production of its equipment by 2030.
The spokesperson added, “Although the use of fuel at factory fill is very limited, we would like to send a message that we care our products from the production.
“We believe using HVO and other low-carbon fuel is one of the effective solutions to minimize CO2 emissions.
“We are also working on measuring the reduction of CO2 emissions with using HVO or low-carbon fuel in the future, to support customers’ site decarbonisation activities.”
The availability of HVO depends on a customer’s location but Komatsu said it could introduce them to suppliers if they needed assistance getting HVO for their sites. It noted that it was also supporting activities investigating future feedstocks for HVO via its forestry business.
HVO is produced from renewable raw material such as cooking oil and animal fats wastes. It is a drop-in replacement for fossil diesel, but with high cetane, no oxygen and no aromatics.
But not all construction companies agree that HVO is one of the solutions to decarbonising the industry.
Last year, UK-based contractor Balfour Beatty released a position paper in which it warned that there were “serious issues” with HVO that needed to be “ironed out” before it committed to the fuel.
Those issues mainly revolved around the traceability and carbon footprint claims around the fuel. It said, “At the heart of our concerns is the fact that, at the moment, the supply chains in this area are complex and opaque, with insufficient information provided about the sources, transportation and production methods.”
But Komatsu said it believed that HVO and other low-carbon fuels are “effective solutions to minimise CO2 emissions”. It added that so far it had received positive feedback from customers who have used HVO on its sites and stressed that one of the key advantages was that HVO required no special instructions to use."
18 May 2023,"Komatsu, Toyota to develop autonomous light vehicles","

Komatsu Ltd. and Toyota Motor Corp. have launched a joint project to develop an Autonomous Light Vehicle that will run on Komatsu’s Autonomous Haulage System (AHS). To realize further safety and productivity improvements in mines by running autonomous haul trucks and automated ALV controlled by AHS, Komatsu and Toyota will jointly develop new technologies.
As part of the work, Komatsu will develop a new ALV management program on its AHS, while Toyota will develop an ALV which runs autonomously under the control of AHS. Toyota’s light-duty vehicles, especially its Land Cruiser trucks, have long been popular in above- and underground mining.
Both companies are currently testing a concept ALV at their proving grounds, and expect to have a proof of concept at a customer site by January 2024.
Since the launch of AHS in 2008, Komatsu said it has deployed over 650 trucks at 22 sites in five countries.
Currently, when AHS-enabled autonomous haul trucks and manual light vehicles used for maintenance or transport are running on haulage roads at the same time, autonomous haul trucks may decrease their speed or stop when passing light vehicles to avoid possible collisions caused by human error. On the other hand, the company said customer demand for improved productivity in mine operations when it comes to autonomous haul truck operating efficiency remains an issue.
Minerals and energy resources are essential, and autonomy reportedly offers the opportunity to remove people from harm’s way and enhance safety. It can allow mining customers the ability to continue the hard work of providing critical minerals despite the ongoing challenge of labor shortages. It can also provide additional safety measures to mine sites on which multiple pieces of equipment are operated, in an effort to reduce accidents due to human error.
In light of those circumstances and in an effort to solve those issues quickly, Komatsu and Toyota expect its work will accelerate autonomy in mines.
Some of the stated goals for the technology include minimizing speed reductions or brief stops of autonomous haul trucks while passing light vehicles on a haul road, the autonomous transfer of parts for other mining equipment working in the field, and the autonomous transfer of equipment operators for other machines such as loading equipment or bulldozers."
16 May 2023,Komatsu launches mid-sized hydrogen fuel-cell excavator concept,"
The manufacturer said the machine’s development is in line with its aim to achieve carbon neutrality in construction equipment.
The company said Proof of Concept (PoC) tests are underway and it is now accelerating efforts to bring medium-sized and large construction equipment powered by hydrogen fuel cells into commercial production “in the near future”.
Komatsu collaborated with Toyota Motor Corporation on the new excavator, with the development project led by operating officer and president Koji Sato.
The company integrated a hydrogen fuel cell system and hydrogen tank on the hydraulic machine.
Diesel-equivalent performance
The company said it combined Toyota’s hydrogen fuel cell system with its own control technology and key components, achieving zero exhaust emissions, significantly reducing noise and vibration.
Komatsu said the excavator also delivers performance, in terms of digging efficiency and operability, equal to that of the comparable engine-driven machine.
The company states that it aims to reduce CO2 emissions by 50% from the use of its products and equipment production by 2030, compared with 2010 levels, and has set itself a target of achieving carbon neutrality by 2050.
Komatsu claims that, due to hydrogen’s higher energy density and shorter refuelling time compared with battery-electric technology, it has focused its research and development efforts on hydrogen fuel cells as a promising electrification choice for medium-sized and large models."
03 May 2023,Digital construction site steals show on Samoter’s first day,"




Machine control, remote control, autonomy and collision avoidance technology worked together with machines from the likes of Develon, Kobelco and Komatsu, to give the audience a vision of what tomorrow’s construction sites may look like.
Topcon and Leica positioning technology was on show, as well as Trimble’s augmented reality solution, SiteVision.
Caterpillar’s Cat Command System was utilised to demonstrate applications as diverse as the remote control loading of a hauler and the remote removal of an explosive device discovered during excavation.
The show demonstrated the advances that have been made in the area of machine control, as a Komatsu dozer made short work of grading, with the operator a passive observer.
Later, a 23-tonne Develon excavator demonstrated the delicate operations that can now be undertaken using the latest tiltrotator attachments from Engcon and Steelwrist.
Construction’s significance
Earlier, the show, which is running in conjunction with the paving and road infrastructure equipment fair, Asphaltica, opened with with speeches from regional mayors and government ministers, who stressed construction’s importance to Italy, as a vital component of its economic recovery.
Italy’s minister of infrastructure and transport, Matteo Salvini, described the importance of infrastructure developments, mentioning the proposed bridge across the Strait of Messina, which, after many years of debate, is potentially now set to connect the island of Sicily with the mainland.
Samoter’s organisers said the show’s six halls and three outdoor areas will host 536 companies from 23 nations over the course of the week, who will vie for the attention of buyers from more than 100 countries.
Alongside equipment and solutions exhibits, Samoter will also host more than 80 market and technical conferences and workshops."
,Komatsu to switch to HVO as factory-fill fuel,"The move, which is line with Komatsu’s long-term goal of achieving carbon neutrality by 2050, and starts this month at plants in Hannover, Germany, and Birtley, United Kingdom.
Komatsu said the combustion engines in its machines – including those produced for the construction and demolition industries – can be operated with HVO, with no modifications required, and described the swich as a major step towards reducing its environmental impact.
HVO is produced from renewable raw material such as cooking oil and animal fats wastes. It is a simple drop-in replacement for fossil diesel, but with high cetane, no oxygen and no aromatics.
Its introduction at Komatsu is part of a sustainability programme that also includes research and development of new technologies and solutions such as electric and hydrogen-powered machines."
11 April 2023,What can construction learn from Japan?,"Japan’s approach to safety and quality in construction goes to lengths that Europe and North America do not come close to. There is much most of us can learn from this, but there are drawbacks too.
Japan has a near obsession with safety. We might like to think in Scandinavia, Western Europe, and North America that we are similarly vexed but the truth is that we come nowhere near.
Visit any construction site in Japan and it is a remarkable experience even for the most seasoned construction professional. Sites are full of health-and-safety professionals, some holding flags, others directing traffic and still others checking this and that ensuring no literal or figurative red lines are crossed, all in the interests of minimising the risk of injury to workers.
In real terms, that translates. In 2012, 2013 and 2014 respectively, fatalities in the Japanese construction industry numbered 367, 342, and 377 respectively. In the three years 2019-21, those numbers were 269, 258 and 288 respectively. While Japanese trends have clearly improved, they have flatlined in US construction where 1,008 fatalities occurred in 2020, according to the Occupational Safety and Health Administration. Deaths in construction in the US have remained at around 10 in every 10,000 for the decade 2011-20.
Nobody is doubting the efforts to ensure safety in the US or indeed other parts of the world, but the mindset in Japan is different. As an outsider, it seems they are personally affronted by bad numbers, disorder, and anomaly, and will do everything in their power to rectify it. It means generally going above and beyond regulation. It also means a lot of checking and ticking off, much of it manual.
While these checks and processes can be frustrating to outsiders, it’s difficult to knock it, given the numbers. But it’s also where an opportunity for telemetry exists and which can plug a gap that takes some of the manual work out of the process and allow human resource to be freed up elsewhere.
That in itself presents problems though. The typical testing process in Japan can be anything up to 12 months; for businesses that aspire to be fast and agile, this is a hurdle. But there’s no getting around it. The way of working and the culture is so embedded in Japanese business that any attempt to accelerate the process will most likely be met with a flat ‘no’ and a reversion to the way of doing things that has served them so well.
Exactly the same arguments apply to quality standards too. And it’s here that many of the big Japanese manufacturers like Hitachi, Sumitomo and Komatsu are very focused on finding telematics solutions that fit with their strategy and big-budget R&D teams. It is here that the chance to get in on a market that numbers 137 million people and still ranks as the third biggest economy in the world continues to be a big draw to foreign companies despite the difficulties in penetrating the local market.
Part of the reason for that is Japan’s ageing population crisis which will place an ever increasing strain on the economy to make sure their needs are catered for. Japan’s over 75s already account for more than 15% of the population and, on current trajectories, that could more than double by 2040.
That places an enormous premium on technology that can make a difference in all areas of the economy. It is why data-rich telematics providers are all-in on the Japanese market because they meet the quality bar to help manage the age issue.
Japan has stringent 2050 carbon reduction targets with one eye on the health benefits that would spin out from such a development and the increasing reliability of telematics data on CO2 emissions and, more importantly, how to mitigate emissions is just one area where that could help. Fuel management systems, more effective usage of machines, better resource allocation and better all-round efficiency with an emphasis on eliminating downtime in the construction industry would obviously fall into line with Japan’s goals too.
It should never be forgotten that Japan sits in a natural disaster zone that make it vulnerable to earthquakes, tsunamis and other natural phenomena that, as one example shows, led to the Fukushima disaster in 2011 that cost an estimated 18,500 lives.
Indeed, disaster management and crisis management really are a thing in Japan. And it partly explains the extreme levels they go to.
We will all have watched with some horror events unfold in Turkey and North Syria where the death toll on the back of a 7.8 Richter Scale earthquake stood at over 57,000 at the time of writing. In November 2014, Japan suffered a lesser but by no means insignificant quake near the city of Nagano measuring 6.7.
There were no deaths and, it has been reported anecdotally, locals continued with their daily business largely unruffled; almost certainly down to stringent quality standards in local construction. By way of direct comparison, a similar scale earthquake in south Italy in 1980 measuring 6.9 cost 3,000 lives.
Japanese OEMs, in fact, have special protocols in place stipulating the immediate release of their machines in the event of a catastrophe as part of systematic disaster management programs. This is not to make light of the efforts or preparedness of other countries in the face of such tragedy, but it merely illustrates just how ready Japan is on every level to handle crisis both in terms of prevention and aftermath.
In a world where we’re still trying to understand what climate change, rising sea levels and natural disasters will do to the way we live – witness the floods in Germany, the forest fires in Australia and California and other natural disasters – this might in time be where we have most to learn from Japan.
Author: Robin Vos, Director of Solutions Architects at Trackunit."
22 March 2023,Komatsu’s tech solutions to boost construction’s productivity,"At ConExpo in Las Vegas, US, Komatsu, one of the world’s largest OEMs, showed its range of technology solutions designed to optimise productivity.
One of these technologies is Komatsu’s Smart Construction Technology. By merging advanced automation and integrated technologies, the OEM says that job sites can be transformed through predictability.
The OEM’s currently available suite of Smart Construction products include: Dashboard, Design, Drone, Field, Fleet, Office, Remote and Retrofit.
At the largest construction show in North America Komatsu also showed its Smart Quarry technology and intelligent Machine Control 2.0​.
The company says that its Smart Quarry solutions are designed to help customers understand, visualise and optimise their job sites. Job site studies provide customers with customised, detailed data that can help them meet production targets.
Smart Quarry allows for continual production monitoring to help increase efficiency, improve production and maintain a high level of performance.
Designed to quickly lessen the skills gap between new and experienced operators, and improve the bottom line for contractors, Komatsu’s intelligent Machine Control (iMC) integrates with the company’s suite of Smart Construction products, services and digital solutions that incorporate a host of advanced, proprietary machine technology.
Among the iMC 2.0 machines in Komatsu’s booth were the PC360LCi-11 excavator, as well as three dozers: D39PXi-24, D51PXi-25 and D71PXi-24.
Komatsu also produced and recently published a video tour of its ConExpo booth, which in addition to technology products, also highlighted other key equipment models on offer such as its next-generation WA475-10 wheeled loader and waste guarding package."
10 March 2023,The sky’s the limit: the latest in drone technology,"Drones, also known as unmanned aerial vehicles (UAVs), have been around in the construction industry for a number of years, but it is only in more recent times that their use has become more accepted and their benefits almost universally understood.
Part of this is the common cycle of anything new – it takes time to figure out the best way of utilising a new tool. Jim Greenberg, product manager in the Trimble Civil Engineering division remembers that “In 2018 there was a lot of hype around drones. We were all trying to get our heads around what it really was and what it really meant… There were a lot of things to figure out, and surveyors were getting up to speed with it.”
Finding someone to fly the drone could be an issue, but it wasn’t the biggest one – that was collecting data (and the right data) and then knowing what to do with it, and what it meant. These kinks have now been ironed out to the point that Greenberg, who is a surveyor by trade, says, “now I feel like it’s just a given; like GPS and machine control, people don’t question if it is good anymore.
“They just question how they can apply it. We feel that it’s at the point where it’s accepted and everyone’s starting to look at it. When you put it in someone’s hands, they figure out the added value they can get from it. We have companies that say this is as transformational as machine control was.”
This viewpoint is backed up by Pascal Martinez, director of OEM Development at Bentley Systems. When asked if drones are more accepted in construction now, he answers emphatically, “Yes. Drones have evolved incredibly over the last ten years and, with prices down and increased ease of use, they are becoming a key tool to monitor construction progress.
“Of course, they are mostly used in horizontal construction and the structural work on vertical construction, but there are new drones that can also fly indoors. And their utilisation can be combined with 3D laser scanning to create a complete reality model of a construction site. A key driver of this adoption is also the autonomy, it relieves the need for an expert pilot and enables repeat flights and acquisition at high pace.”
As the technology has developed so has the speed at that data can be processed – data can be uploaded to the cloud and available shortly after for evaluation thanks to the readily available processing power. Some contractors are even flying multiple flights in one day and uploading them simultaneously.
The increasing automation of drones is playing a role in their adoption, as is the fact that the way they
are being used has also evolved. Initially, drones were used across construction to get to locations where people couldn’t get to or were considered too dangerous. However, this is changing, says Barry McGinn, sales director, Capital Projects, Cyberhawk.
“The role of drones is evolving, and they are now being deployed to survey the progress and performance of a project. They’re enabling stakeholders to monitor the site from anywhere in the world,” he comments.
“Drone survey images are now at the same level as terrestrial surveys, but the benefit of drones is that up to 30 times more distance can be covered in a day. The efficiencies that can be made are astronomical. We also now have drones operating with what’s effectively a force field around them, enabling them to fly indoors through structures without risk of collision. This allows for the collection of incredible imagery, giving a photo-realistic view of assets.”
That construction is not the world’s most efficient sector is well known – the industry’s relative lack of productivity gains has been well documented. In order to become more productive and efficient, it first needs to be known what work has taken place; this is where drones and the data they collect are essential.
Collecting data on a site makes it possible to track progress over time to enable project stakeholders to see what areas could become more efficient and also the optimum time for materials to be moved. Swiss-based software company Pix4D is one such company that offers these services.
“PIX4Dcloud Advanced allows constructors to use its timeline feature to track changes over time. The workflow is very straightforward: collect data via drones or mobile devices, process it online with PIX4Dcloud, and then analyse the site,” says Gabriele Ruggiero, business development manager, AEC Solutions at Pix4D
“You can measure distances or volumes, share 3D models, and monitor stockpiles. To track and manage progress, the timeline tool allows you to overlay design plans and maps in order to identify errors early and avoid expensive rework. All of this can be shared online with stakeholders via links as it is hosted online, which means processing and analysis can take place off-site.”
Using drones and software enables firms to document their progress. It means they no longer have to guess how long it takes them to move material – they know exactly. “Drones not only give you great pictures, but you have data you can measure with, like areas, your footages and volume metrics,” says Jason Anetsberger, director of customer solutions at Komatsu. “That data can become the truth for the job site.”
During a preconstruction flight it is possible to compare the real site to the engineer’s model, which allows for any miscalculations to be fixed.
“We had a customer recently who realised they had to move 40,000 cubic yards more than what the engineer quantities were saying they needed to do at the beginning of the job,” comments Jim Petry, Smart Construction solutions manager.
“For them, that was a big revelation. That was the first time that they used a drone. They quickly found a lot of value in it. They can see where their cut and fills are on the site, where that is taking place, and if it’s a large site, they can make better decisions on equipment.”
The potential of this technology goes even further than monitoring – and optimising – a construction site. One of the ways it can be used is to help create and update 3D models.
“This feedback from the field leverages multiple techniques, but companies are now making reality modeling and surveying an essential component of this process, with an increasing adoption of 3D laser scanners, drones, timelapse cameras, and photogrammetry,” says Bentley’s Martinez.
“Moreover, surveying is not only used to monitor progress and control the quality of the construction, but also to create 3D snapshots at key project milestones, that can be archived and reused during maintenance and operations. It is also used to update design models to keep digital twins evergreen and improve the communication between designers and constructors.”
At the moment, in most countries, a drone can only be flown to a point where they remain in the pilot’s line of sight but that may change, says McGinn from Cyberhawk. “I believe we’ll eventually shift to remote flying, which will be transformative in terms of productivity for linear civil engineering projects like roads and railways,” he says.
In addition to this he believes that “In the next five to ten years, we’ll see widespread use of drones for delivery, supporting modern methods of construction. Site data gathered by drones will alert off-site manufacturing assets when facilities such as bathroom pods or heating, ventilation and air conditioning systems are required, and drones will be used to deliver those materials at the right time.”
Construction is a fractured industry, with just one large-scale project commonly having numerous contractors and even more subcontractors working on it. Multiple stakeholders can make sharing data difficult but, says Pix4D’s Ruggiero, “Construction platforms are also becoming more straightforward to integrate with, which helps us to support our clients that work with multiple products and service providers.”
Another potential change could be the move towards LiDAR, which uses the light from a laser to collect measurements. At the moment most drones use photogrammetry, which provides consistent ground models. Trimble’s Greenberg says LiDar has advantages, but a change won’t happen for a little while yet.
“When you are flying a drone with LiDar, it has lots of advantages – it can penetrate foliage, but you have to have really accurate orientations and the accuracy just isn’t as good as what we can get out of photogrammetry,” he says.
“If the price point was right and the LiDar was good enough, I’m sure we’d have all drones with LiDar and photos, so maybe five or ten years from now. But I don’t see LiDar taking over from photogrammetry for our applications in the near future.”
There will doubtless be changes to both the physical drones themselves and the software in the future, as well as to how the data is used. One thing that will remain constant though is this branch of construction technology being used to keep the ‘real’ world and the digital world in step. For example, a drone flight on a Sunday night will provide accurate data for a whole team on Monday morning about the exact state of a project.
As Greenberg says, “the real and digital world go out of sync all the time. When you see that the real and digital world are diverging, it’s a way to pull them back together.” As the influence of the digital world grows ever more in construction, having the ability to make sure that this world and the ‘real’, physical world are the same will only grow in importance.
Drone manufacturer Skydio has announced the launch of its new product line, which includes Skydio Dock and Skydio Dock Lite, powered by Skydio’s new Remote Ops software.
US-based Skydio says that its Dock solutions give users complete remote and autonomous visibility into tasks like site inspection and monitoring, mapping, and situational awareness.
Skydio drones housed in Dock and Dock Lite can fly safely with a single off-site operator, or autonomously. Skydio Remote Ops software is said to enhance the drone’s AI-powered autonomy so operators can perform streamlined missions.
Adam Bry, CEO of Skydio, says, “Skydio Dock and Skydio Dock Lite, combined with our Remote Ops software, deliver autonomous capabilities for our customers, whether they are monitoring their warehouses, inspecting a security perimeter, or assessing infrastructure following a natural disaster – finally realising the promise of efficient, scalable remote operations.”
This announcement is made with the participation of Skydio’s Early Access customers and partners, such as the North Carolina Department of Transportation, Southern Company, Caltrans, the Oracle Innovation Lab, and Japan-based Obayashi Construction.
Time compiled the list via solicited nominations from its editors and correspondents around the world, and through an online application process. The company then evaluated each contender on a number of key factors, including originality, efficacy, ambition, and impact.
Hexagon says that the BLK2FLY can quickly and accurately capture everything from large outdoor spaces to complex structures and environments. The resulting colourised 3D point clouds are instrumental in building information modeling (BIM) processes, documenting site conditions, and improving any asset’s operation.
“Having our reality capture technology recognised by Time as one of the year’s best inventions is both humbling and inspiring. It validates our mission to build Smart Digital Realities that empower an autonomous, sustainable future,” says Hexagon President and CEO Ola Rollén."
