제목,날짜,링크,요약,type,date,contents
Liebherr presents the new LH 26 M Timber Litronic at LIGNA 2023 in Hanover,Press releases |05/15/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-presents-the-new-lh-26-m-timber-litronic-at-ligna-2023-in-hanover.html,Liebherr will unveil the new LH 26 M Timber Litronic for efficient timber handling at the world's leading trade fair LIGNA in Hanover.Find out more,Press releases,05/15/2023,"With the LH 26 M Timber Litronic, Liebherr will present a new timber truck to the public at LIGNA that extends its existing portfolio to include a lighter machine with an operating mass of between 23,500 and 26,000 kg. Liebherr will also showcase its new, integrated tyre pressure monitoring system as part of its trade fair exhibit. This system allows the desired target tyre pressure to be set and monitored on the display in the operator's cab. The system will be optionally available for Liebherr material handlers from October.Liebherr's trade fair exhibit also includes a straight 6.6 m long boom and a 5 m long stick with an angled stick end as well as a Liebherr type GM 10B wood grapple with a capacity of up to 1.30 m². The machine configuration also includes the 1.2 m high, rigid cab elevation LFC 120 for optimum visibility and a 3 m wide support blade at the rear. Maximum splash protection is provided thanks to the hot-dip galvanised mudguards, which also serve as a platform for easy and safe access to the operator's cab.The new machine combines high driving performance with compact dimensionsThe engine power of 125 kW / 170 hp provides the system with a large amount of torque, which allows the machine to accelerate quickly. In combination with the high pump flow, this guarantees fast, dynamic work movements and therefore maximum handling capacity.Thanks to its compact design, the new machine is ideal for use in confined spaces. It’s extremely small front and tail swing radius enables the machine to turn around completely even in very narrow operating locations. The minimal contours of the right front side enable the machine to work very close to sorting lines or timber stacks as it is always within the width of the undercarriage. This ensures an excellent view of the working area, ensures additional safety and prevents collisions.Four-wheel steering for greater manoeuvrability and integrated tyre pressure monitoring systemTo ensure excellent manoeuvrability and agility, the LH 26 M Timber is equipped with four-wheel steering as standard. The four-wheel steering increases driving stability and thus improves the machine's directional stability. The automatic steering reversal, which is also standard, guarantees the correct steering direction at all times, when travelling both forwards and in reverse.To allow the operator to keep an eye on the tyre pressures, the machine features Liebherr's new integrated tyre pressure monitoring system. The desired target tyre pressure can be set on the display in the operator's cab. If the current tyre pressure deviates from the set target pressure, a warning is shown on the display. The integrated monitoring system not only increases safety, but also results in increased driving comfort as well as reduced tyre wear.Optimised undercarriage concept with efficient travel mode for trailer operationThe electric pivoting angle adjustment in the travel motor provides additional torque, maximum acceleration and a higher drawbar pull. This ensures a consistently good driving performance even on inclines. Optimal adjustment of both the engine speed and flow rate ensures impressive fuel efficiency even at top speed.For longer distances, the combination of a material handler and trailer is the optimal choice. The powerful travel drive and robust axles enable the machine to tow trailers with a weight of up to 60 tonnes.The 3 m wide undercarriage and rear support blade give the machine a high degree of stability during handling operations, which also means the load capacity can be further increased; for example, when loading and unloading the trailer. This enables more timber to be handled during each cycle to increase productivity. The support blade can also be used for clearing work and thus increases safety in the timber yard.. Downloads. Presseinformation Deutsch DOCX (321 KB)Presseinformation Deutsch PDF (653 KB)Press release EnglishDOCX (320 KB)Press release EnglishPDF (346 KB). . Nadine WillburgerMarketingLiebherr-Hydraulikbagger GmbHLiebherrstraße 1288457 Kirchdorf an der IllerGermanyPhone+49 7354 80-0Fax+49 7354 8075-38Send contact request. "
New Liebherr L 580 LogHandler XPower® makes its début at Ligna 2023,Press releases |05/15/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/new-liebherr-l-580-loghandler-xpower-makes-its-debut-at-ligna-2023.html,"Liebherr will exhibit a new version of the L 580 LogHandler XPower®, the special wheel loader for the timber industry.Find out more",Press releases,05/15/2023,"The L 580 LogHandler XPower® is based on the standard version of the Liebherr L 580 XPower® wheel loader. It has many of the advantages for which the XPower® wheel loaders are renowned, in particular, the XPower® power-split travel drive, which Liebherr installs on all XPower® models as standard. With its high performance, low fuel consumption and a final speed of 40 km/h, the L 580 LogHandler XPower® excels during short loading cycles as well as over long distances. Responding to customer requests, Liebherr has adopted multiple equipment options from its standard wheel loaders for the new L 580 LogHandler XPower®. For example, the active personnel detection, an innovative assistance system to increase safety and the steering wheel-free operator's cab with convenient joystick steering.Productivity in timber work with new lift arms and optimised grappleThe special wheel loader's lift arms consist of a newly designed swivel arm and an optimised boom. The new swivel arm has no components which could impair visibility. It is designed so the view of the grapple, the logs being transported, the woodpiles and the vehicles to be loaded remains unobstructed. Liebherr has reworked the geometry of the boom so the machine operator can move the grapple laden with logs optimally and with more power in all directions, even at great heights. The stroke limit damping thereby ensures a gentle movement to the end positions of the working hydraulics, which reduces jolting and extends the components' service life.The new lift arms on the L 580 LogHandler XPower® are notable for other intelligent solutions. For example, the machine operator can program individual lift arm positions on the touch display in the cab. Recurring work procedures can therefore be repeated automatically and safely, increasing convenience when handling logs. The electrohydraulic pilot control and angle sensors are the technical foundation for this. Together with other pressure sensors, they ensure that the optional weighing system can weigh the load in the grapple at any time. An indicator in the display, which provides information on the machine's stability enhances this weighing system.The new, optional grapple monitoring system, including a camera fitted on the boom, also increases safety. It provides a direct view of the working attachment and transmits a live image on an additional display in the operator's cab, improving visibility for the machine operator. In the rework process, Liebherr has also adapted the grapples, which have a capacity of up to 4.0 m². These are greater than on previous models and are optimised for easy loading. Their claws are wider than before to make log transportation more stable and safer. The grapple, which can be rotated 360° and allows logs to be manipulated in all directions, ensures maximum versatility.Convenience and safety in the timber yard with XPower® operator's cab and assistance systemsThe spacious cab on the L 580 LogHandler XPower® is a safe and convenient workspace for the machine operator. The interior is logically designed and storage options and control elements form an ergonomic unit. The multiple hydraulic functions of the lift arms and grapple, and the travel direction can all be precisely controlled with one hand using the Liebherr control lever, which moves with the operator's seat. Other functions can be easily operated using the state-of-the-art, height-adjustable touch display or the buttons positioned near the control lever.In the design without the steering wheel, the operator's cab is generously proportioned and the steering column is also omitted. In this case, customers must have their L 580 LogHandler XPower® fitted with the optional joystick steering when ordering. Joystick steering allows the operator to steer easily with just one hand. This makes working more pleasant because intensive turning of a steering wheel is replaced by short movements on an ergonomically designed joystick. The position of the joystick always corresponds to the machine's respective articulation angle. With force feedback on the joystick this ensures intuitive and safe operation, even at high speeds and on challenging terrain.Other innovative equipment is also available on the new L 580 LogHandler XPower®, like active personnel detection. This optional assistance system, which is installed at the rear, warns of dangers to the rear of the machine both visually on the display and with acoustic signals in the cabin. In order to provide a specific warning of imminent injury to people, the assistance system independently distinguishes between people and objects using smart sensors. As soon as active personnel detection emits a warning signal, the brake assistant automatically reduces the machine's speed. This eliminates the human reaction time required for conventional braking. This shortens the stopping distance by crucial metres, further reducing the frequency and severity of accidents and making the timber yard safer.. Downloads. Presseinformation Deutsch DOCX (586 KB)Presseinformation Deutsch PDF (777 KB)Press release EnglishDOCX (584 KB)Press release EnglishPDF (772 KB)Information Presse Français DOCX (585 KB)Information Presse Français PDF (872 KB). . Martin KollerMarketing and Public RelationsLiebherr-Werk Bischofshofen GmbHDr. Hans-Liebherr-Straße 45500 BischofshofenAustriaPhone+43 5080 9114-75Fax+43 5080 9174-75Send contact request. "
ISO Limited and Liebherr advance New Zealand timber,Press releases |05/10/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/iso-limited-and-liebherr-advance-new-zealand-timber.html,"Liebherr and ISO Limited have been building on a long partnership to drive innovation in New Zealand’s forestry industry. The outreach began in 2018, and after careful planning and due diligence, the delivery of MHCs and SMAG grabs have been operating since 2020. The delivery is considered a “lighthouse project” that other locations are analysing to expand and improve their own operations. The LHM 550 has a 51-metre lifting height and an outreach of 54 metres. The electric-hydraulic grapples feature a world-first in terms of size and capacity at 35 tonnes and 9.0 m², respectively.Find out more",Press releases,05/10/2023,"Innovation never rests. To support the sizeable lumber industry in New Zealand, Liebherr Maritime Cranes has worked with ISO Limited, a Qube company, and SMAG to develop a state-of-the-art timber handling solution for the ports of Tauranga and Gisborne. This project marks a significant milestone for the forestry industry in New Zealand and demonstrates Liebherr’s commitment to delivering innovative solutions that drive efficiency and safety in maritime operations. The project began in mid-2018. Following customer meetings in Tauranga and Gisborne, Liebherr had a clearer picture of the project’s requirements.In September 2019, a customer meeting was held at the Liebherr Rostock manufacturing plant, with the first test of the SMAG electric-hydraulic grapples, and a contract was signed for four LHM 550 and six SMAG timber grabs. A crane simulator to assist with training of crane operators was also part of the purchase for Tauranga. In January 2020, a successful second grab test was completed with a new bucket design, and production of the six grabs was released. By Q1 2020, the crane simulator had been delivered and installed at the customer’s site. In mid-July 2020, the four fully assembled LHM 550 mobile harbour cranes and six timber grabs were loaded onto the ship “Rolldock Sun” and arrived in Tauranga in early September 2020. In addition, a further contract was signed for two more LHM 550 and three more SMAG timber grabs. They arrived at Eastland Port - Gisborne November 2021. All units have been handed over to the customer and are in operation. Turnover has been increased by as much as 35%.A “lighthouse project” for one of New Zealand’s leading industries“The new MHCs have significantly changed the way logs are loaded in New Zealand and most importantly are a significant step-change to our current practices, improving both safety and productivity,” states Paul Cameron, Director and CEO at ISO Limited.Not only has this project opened up great potential for further shipments with ISO, but other companies have also expressed interest. The concept of more efficient and safer ways of handling timber is proving to be an attractive option for many. Forestry is a significant industry in New Zealand, contributing to an annual export revenue of around $6.8 billion, 1.6% of New Zealand’s GDP, and to the employment of around 35,000 people in production, processing, and commercialisation. Innovations in this field are therefore of great relevance to many people, and Liebherr and its partners will continue to collaborate closely on forward-looking options to support safe and efficient ways of operating in the timber industry.. Downloads. Presseinformation DeutschDOCX (5.8 MB)Presseinformation DeutschPDF (420 KB)Press release EnglishDOCX (5.8 MB)Press release EnglishPDF (419 KB). . Philipp  HelbergLiebherr-MCCtec Rostock GmbHLiebherrstraße 118147 RostockGermanyPhone+49 381 60065024Send contact request. "
Liebherr wins ESTA Award in the 'Training' category,Press releases |05/10/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-wins-esta-award-in-the-training-category.html,"The winners of the ESTA Awards of Excellence 2023 were announced on 20 April at an awards ceremony in Noordwijk, the Netherlands.Find out more",Press releases,05/10/2023,"With a variety of courses in different formats, Liebherr serves the relevant segments for crane operators, dispatchers and workshop personnel around the world. Liebherr's aim is to better train crane industry employees and, in doing so, support safety and accident-free operations in the industry.Christoph Kleiner, Managing Director Sales at Liebherr-Werk Ehingen GmbH, accepted the award and says: ""For us, in addition to training our own employees, training our customers has always been an important component in connection with the safe and efficient use of our cranes while ensuring maximum availability. In recent years, we have added further learning methods, which we consistently used and expanded during the pandemic. These were also aimed at new target groups, not just crane drivers. Overall, training is also a key pillar of our business model, both in terms of presence in our division's training centres worldwide, but also digitally within our MyLiebherr customer platform.""Christoph Behmüller, head of the training department at Liebherr in Ehingen, adds: ""Finding skilled workers and, at the same time, developing and retaining them is becoming increasingly more difficult. This is exactly where we want to support our customers in our long-standing partnership. Together we have thought about how we can properly support them in developing their employees. A new concept has been developed in this way. This allows us to offer our customers the possibility of training their employees from beginners to experts. Three areas of professional training have emerged: Mobile crane operators, dispatchers and workshop personnel.""For each target group, Liebherr offers a digital e-learning course that provides a basic introduction to cranes. Through these e-learning courses, a uniform level of knowledge is achieved for the following courses. ""This way, we support the development process from career changer to expert – optimally and individually. During practical training weeks in the training departments worldwide, crane class-specific equipment and controls can be studied in depth after successful completion of the e-learning courses. This means that the training groups are on the same level and are already able to exchange a lot of knowledge with each other,"" says Behmüller.Liebherr is thus creating a new standard in the crane industry: one that focusses on qualified personnel who are aware of the responsibility that comes with handling and operating mobile cranes. This advances the goal of zero accidents in the industry. Comprehensive offers are available for our crane operators, dispatchers and workshop personnel target groups.E-learning – being mobileWith its e-learning courses, Liebherr offers tailored learning at any time and from anywhere. The learning units can be worked through independently and flexibly. This offers maximum flexibility for all target groups with ultimately the same level of knowledge.Face-to-face training coursesFace-to-face training is a valuable part of Liebherr's training programme. In theoretical and practical sessions, highly qualified and certified trainers explain the complex crane technology using cutaway models, demonstration objects, training cranes and with the help of multimedia. Face-to-face training is offered worldwide in various Liebherr training centres or at customer sites in some cases.Live streamingThe training programme has been expanded to include a wide range of online opportunities for live course participation. These digital solutions make it possible to attend courses via live streaming regardless of where you are, saving valuable resources while still ensuring the highest industry standards and knowledge transfer.. Downloads. Presseinformation Deutsch DOCX (213 KB)Presseinformation Deutsch PDF (246 KB)Press release EnglishDOCX (210 KB)Press release EnglishPDF (240 KB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Liebherr to exhibit at 2023 Elko Mining Expo,News |05/04/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-to-exhibit-at-2023-elko-mining-expo.html,"Liebherr USA, Co. will be exhibiting at 2023 Elko Mining Expo in June 2023 showcasing multiple machinesFind out more",News,05/04/2023,"The 37th annual Elko Mining Expo will take place in Elko, Nevada from June 5-8, 2023. Organized by the Elko Convention & Visitors Authority since 1985, this is one of the oldest mining expos in the United States. It allows visitors from all over the world to come together to view the latest equipment and technology in the industry and provides an excellent opportunity for professional networking on an international scale.Liebherr USA, Co. will be showcasing multiple machines from the Mining and Earthmoving product segments. Regional Sales Manager, Brent Adams, as well as multiple product representatives will be on site at the Liebherr booth for any inquiries.Liebherr will also be the premier sponsor of the 2023 Elko Mining Expo, and will be highlighted as such at the opening reception on June 7, 2023. Liebherr has held this sponsorship for multiple years.Digging, Hauling, and Dozing Liebherr Mining offers a full line of products for the mining industry including mining excavators, trucks, and dozers, as well as personal assistance to customer specific projects and site requirements. Quality, reliability, and innovative technologies ensure that mining operations are safe and efficient at all times. Liebherr also offers aftermarket support for components and a remanufacturing program that enables customers to significantly reduce the total lifecycle cost of Liebherr mining equipment."
Liebherr at Control 2023 - the international trade fair for quality assurance in Stuttgart,News |05/04/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-at-control-2023-the-international-trade-fair-for-quality-assurance-in-stuttgart.html,There you will have the opportunity to find out about the latest developments and technologies in this sector. We are particularly proud to be able to present our WGT 600 gear inspection machine.We are certain you will be impressed by our machine's numerous highlights and invite you to experience these first-hand at the trade fair.Find out more,News,05/04/2023,"When: May 9 - 12, 2023Where: Landesmesse Stuttgart GmbH, Messepiazza, 70629 Stuttgart, GermanyStand: Hall 7, Stand 7506Further information is available at: www.control-messe.deWGT 600 gear inspection machine highlights:- Air bearing technology and granite components for maximum precision- In-house development of control system and measurement software- Accuracy in accordance with VDI/VDE 2612/13, Group 1- Ergonomic design- Easy loading and unloading"
Successful participation in MRO Americas 2023 ,News |05/03/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/successful-participation-in-mro-americas-2023.html,"As every year, the Liebherr team was very busy at MRO Americas. The exhibition was a great platform to announce a new partnership in the MRO market.Find out more",News,05/03/2023,"From April 18th to 20th, 2023, Liebherr-Aerospace attended MRO Americas, which took place in Atlanta, Georgia (USA). It is the largest aerospace tradeshow in the Americas, with more than 850 exhibitors, 15,750 attendees and thus the perfect platform to meet customers, discuss current and future challenges on the market, and make partnerships happen.During the exhibition, Liebherr-Aerospace and REVIMA Landing Gear Services Asia Pacific have announced an expanded collaboration covering maintenance, repair, and overhaul (MRO) services for the Airbus A350's Nose Landing Gear to airlines operating in the Asia-Pacific region.This year’s MRO Americas was once again very successful and the Liebherr team is looking forward to meet its customers and business partners at the next edition of MRO Americas in 2024, in Chicago, Illinois.Liebherr-Aerospace and REVIMA team up for A350 Nose Landing Gear MRO"
Liebherr at LIGNA 2023: Special machines and solutions for the timber and forestry industry,Press releases |05/03/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-at-ligna-2023-special-machines-and-solutions-for-the-timber-and-forestry-industry.html,Liebherr will showcase its special machines and solutions for the wood processing industry at the LIGNA 2023 international trade fair for the timber and forestry sector in Hanover.Find out more,Press releases,05/03/2023,"Liebherr offers a broad range of powerful special machines and solutions for efficient timber handling. These machines are optimally designed for jobs such as loading and unloading trucks and trailers, log sorting and transport. For these tasks, good driving performance, high payloads and fast working cycles are the order of the day. Whether working as a material handler, wheel loader or telescopic handler, these machines are equipped to drive quickly and manoeuvre nimbly while handling raw materials precisely and delicately; for example, during gripping and sorting work. Liebherr will exhibit four of its special-purpose machines at LIGNA.Wheel loader for increased productivity in timber handlingLiebherr will present a new version of its L 580 LogHandler XPower®, a specialized wheel loader for the timber industry, at LIGNA 2023. This machine is based on the standard version of the Liebherr L 580 XPower® wheel loader and provides many of the now familiar advantages of the XPower line-up; chief among them, the power-split XPower travel drive. The upgraded model features numerous optimisations; for example, on the lift mast and the associated grapples, which were specially developed for log handling.For flexible work in the timber yard, the modified mast allows manipulation heights of up to seven metres and a reach of almost four metres. Some design-related adjustments, especially to the basic boom, have also resulted in improved visibility. These innovations will enable operating companies to move more cubic metres of wood per hour and thus increase their productivity. The new L 580 LogHandler XPower® is available now from Liebherr sales partners.Liebherr will also showcase the L 538 as a representative of its new series of medium-sized wheel loaders, which it has recently redeveloped and fundamentally revised. The redesigned mast, which ensures the highest possible breakout, holding and retrieval forces, features optimised Z-kinematics and improved working hydraulics. With their increased engine power and tip loads, these wheel loaders are ready for a wide range of demanding operations in various industries. The latest innovations enable faster cycle times and dynamic and powerful working movements – even with heavy attachments such as high-tip buckets or wood grapples.New Liebherr LH 26 M Timber Litronic material handlerThe new LH 26 M Timber Litronic will also be on show at LIGNA. Thanks to its extremely compact design and exceptional manoeuvrability, this specialist handling machine is ideal for use in sawmills and lumber yards where space is at a premium. It also boasts impressively low fuel consumption when operating at maximum capacity.With the LH 26 M Timber Litronic, Liebherr has expanded its existing portfolio to include a lighter machine with an operating mass of between 23,500 and 26,000 kg. This model is also equipped with a new integrated tyre pressure monitoring system, which allows the desired target tyre pressure to be set and monitored on the display in the operator's cab. The system will be optionally available for Liebherr timber handlers from October.Liebherr T 60-9s telescopic handler – a multifunctional machine for industrial applicationsAnother vehicle that will be presented by Liebherr is the T 60-9s telescopic handler, the largest of the three industrial machines, which have proven themselves as efficient multifunctional workhorses in a myriad of applications.With payloads of up to six tonnes and powerful working hydraulics, they allow goods to be lifted quickly and positioned with pinpoint accuracy. Being equipped with all-wheel drive, these machines can move heavy loads at great heights and are also ideal for work on unpaved ground. When manoeuvring in tight spaces, machines with excellent agility excel. Thanks to a particularly large steering angle combined with a long wheelbase, Liebherr telescopic handlers offer precisely this kind of manoeuvrability without sacrificing load capacity. In addition, these machines feature a continuous front windscreen that provides excellent visibility upwards – the best prerequisite for safe working. With the optionally available fine control, the working hydraulics can be adapted to the required application scenario – including the use of all power reserves and a fine-control range for precise operation.Relaxed and comfortable driving is another basic requirement for the safe operation of telescopic handlers. Liebherr machines stand out here thanks to numerous intelligent and detailed solutions. The programmable constant flow rate, for example, allows the speed of road sweepers to be precisely controlled. With the optionally available manual control package, the travel speed can be adjusted as required. All in all, the eight models in the Liebherr telescopic handler series cover an extremely wide range of applications. These machines are available both as an s-variant for demanding applications and as a value variant. This means that customers can find the perfect machine for every requirement.Impressive STIHLTIMBERSPORTS® showsAt the Liebherr stand, athlete Christoph Lang from STIHL TIMBERSPORTS® will demonstrate his skills on a high-horsepower chainsaw and a two-metre-long hand-pulled saw. On site, Lang will demonstrate the action-packed Stock Saw and Single Buck saw disciplines from the STIHLTIMBERSPORTS® series. Visitors can look forward to four exciting shows on each day of the fair.As a special highlight between the demonstrations, anyone interested will also get the chance to test their own woodworking talent under Lang's professional guidance. Using the so-called Single Buck, a two-metre hand-pulled saw, visitors will be able to slice off their own ""cookie"" as a trophy.. Downloads. Presseinformation Deutsch DOCX (866 KB)Presseinformation Deutsch PDF (700 KB)Press release EnglishDOCX (865 KB)Press release EnglishPDF (698 KB)ImagesZIP (19.3 MB). . Nadine WillburgerMarketingLiebherr-Hydraulikbagger GmbHLiebherrstraße 1288457 Kirchdorf an der IllerGermanyPhone+49 7354 80-0Fax+49 7354 8075-38Send contact request. . Martin KollerMarketing and Public RelationsLiebherr-Werk Bischofshofen GmbHDr. Hans-Liebherr-Straße 45500 BischofshofenAustriaPhone+43 5080 9114-75Fax+43 5080 9174-75Send contact request. "
5 Liebherr assistance systems to keep you safe on your jobsite,Listicle |04/28/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/5-liebherr-assistance-systems-to-keep-you-safe-on-your-jobsite.html,"Liebherr continues to improve on-site safety through intelligent machine controls, assistance systems, and automated processes that contribute to increased productivity. It is important for operators to be in a comfortable and safe operating area, where they can concentrate longer and work more efficiently. These 5 useful assistance systems reduce the risk of accidents and their easy operation enables safe and efficient machine operation.Find out more",Listicle,04/28/2023,"The images from the skyview cameras are combined to form a bird’s eye view of the machine environment which is shown on a separate display in the operator’s cabThe images from the skyview cameras are combined to form a bird’s eye view of the machine environment which is shown on a separate display in the operator’s cabThe images from the skyview cameras are combined to form a bird’s eye view of the machine environment which is shown on a separate display in the operator’s cab. Everything in view – the Skyview 360° system has been fundamentally revised and now has impressive high-definition image quality. The system offers an overview of the whole area around the machine, so that potential hazards can be identified earlier and accidents prevented. The optional Skyview 360° assistance system for the Liebherr L 526 - L 586 XPower wheel loaders simplifies monitoring of the machine environment. Skyview 360° offers the operator a 360-degree view around the wheel loader at all times, with four additional cameras covering the entire machine environment.. The active personnel detection system monitors the rear area of the wheel loader and automatically warns the operator of dangersThe active personnel detection system monitors the rear area of the wheel loader and automatically warns the operator of dangersThe active personnel detection system monitors the rear area of the wheel loader and automatically warns the operator of dangers. The active personnel detection system monitors the rear area of the wheel loader and automatically warns the operator of dangers through a visual symbol on the display and an audible signal. Another aid for avoiding collisions is the brake assistant. The brake assistant automatically slows the speed of the wheel loader to a standstill the moment the active personnel detection issues a warning signal. With the aid of the latest camera technology, the system distinguishes between people and objects without the people needing to be equipped with transponders or sensors. This makes the Liebherr system one of the safest currently on the market.. The ground pressure assistant constantly measures the exact position of all moving partsThe ground pressure assistant constantly measures the exact position of all moving partsThe ground pressure assistant constantly measures the exact position of all moving parts. The ground pressure assistant constantly measures the exact position of all moving parts for crawler cranes and deep foundation machines. In addition, it records pull forces on the winches. The changes in the center of gravity also lead to changes in the ground pressure distribution under the crawlers, and this is often limited. This is where the ground pressure assistant steps in, making dangerous accidents avoidable.. Navigation and alignment from various perspectives outside the cab bring huge advantages with respect to safetyNavigation and alignment from various perspectives outside the cab bring huge advantages with respect to safetyNavigation and alignment from various perspectives outside the cab bring huge advantages with respect to safety. At the press of a button all machine movements can be transferred to outside the cab and carried out using radio remote control. This increases safety on the jobsite, especially where space is restricted. This also allows for less communication error as less personnel are required as guides. All of these advantages make the remote-control assembly of machine and attachments quicker, easier, and more precise.. Crane operation can be demanding during lifting jobs. The newest generation of crawler cranes offers many innovative assistance systems, which both increase operational safety as well as simplify handlingCrane operation can be demanding during lifting jobs. The newest generation of crawler cranes offers many innovative assistance systems, which both increase operational safety as well as simplify handlingCrane operation can be demanding during lifting jobs. The newest generation of crawler cranes offers many innovative assistance systems, which both increase operational safety as well as simplify handling. The control system of the LR range, which was developed by Liebherr, focuses on precision, safety and productivity. The crane management system is the centerpiece for precise and reliable crane operation. It is a unique one-system-solution which combines the best technologies available for reliable crane control. Various analysis tools provide relevant information on the operation including motor and hydraulic management, safety and diagnosis systems, communication and information systems, and machine data recording."
First LR 1400 SX in the Middle East for “The King of Barges”,Press releases |04/28/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/first-lr-1400-sx-in-the-middle-east-for-the-king-of-barges.html,"Al Jazeera Shipping Co. W.L.L. is considered to be one of the largest marine operators in the Gulf region with a fleet of over 150 units consisting of various sizes and types of tugs, barges and other equipment.Find out more",Press releases,04/28/2023,"Al Jazeera Shipping Co. W.L.L. has been active in both the maritime and the offshore and oil industries for over 45 years. The main activities of the company include chartering tugboats, supply boats, accommodation and work barges, as well as leasing offshore construction equipment. The company also has its own marine fabricating yard to carry out the associated repair and maintenance jobs. It covers an area of over 80,000 square metres with 300 metres water frontage and is adjacent to the Mina Salman Port area.Back in early 2022, Mr. Ali Hasan Mahmood, Managing Director of Al Jazeera Shipping, commonly known under his alias “The King of Barges”, expressed his desire to renew one of his used older generation crawler cranes. This led him to various suppliers and his attention was caught by the latest addition to the Liebherr crawler crane range, namely the 400-tonne LR 1400 SX. Apart from the crane’s superior load curve and safety ratings, Mr. Ali Hasan’s decision to go with Liebherr was mainly driven by the model’s short assembly time, its preselection feature of individually customized load charts and, in particular, its capability to preselect barge inclinations, which automatically applies the permitted load curve. The LR 1400 SX has just recently been commissioned and will be working on several projects with Bapco and its refinery in Bahrain beginning in May 2023.“We are proud to be the first company in the Gulf to receive the Liebherr 400-tonne crawler crane model LR 1400 SX. Hopefully more Liebherr crawler crane purchases are to come with the assistance and full cooperation from Liebherr. A great association,” says Ali Hasan Mahmood.. Downloads. Presseinformation Deutsch DOCX (159 KB)Presseinformation Deutsch PDF (521 KB)Press release EnglishDOCX (159 KB)Press release EnglishPDF (521 KB). Gregor  Grießer Strategic Marketing and CommunicationsLiebherr-Werk Nenzing GmbHDr. Hans Liebherr Straße 16710 NenzingAustriaSend contact request. "
